,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
101708,0.813,-1.023,-0.156,1695.116667,4,58,15.11666667,1.315991641,FALSE
101709,0.793,-0.715,-0.148,1695.133333,4,58,15.13333333,1.077950834,FALSE
101710,0.75,-0.547,-0.207,1695.15,4,58,15.15,0.951082541,FALSE
101711,0.539,-0.496,-0.293,1695.166667,4,58,15.16666667,0.788914444,FALSE
101712,0.594,-0.563,-0.223,1695.183333,4,58,15.18333333,0.8482535,FALSE
101713,0.793,-0.699,-0.309,1695.2,4,58,15.2,1.101331467,FALSE
101714,0.746,-0.715,-0.547,1695.216667,4,58,15.21666667,1.16916637,FALSE
101715,0.633,-0.559,-0.551,1695.233333,4,58,15.23333333,1.008350633,FALSE
101716,0.477,-0.336,-0.438,1695.25,4,58,15.25,0.72956768,FALSE
101717,0.379,-0.258,-0.586,1695.266667,4,58,15.26666667,0.744043682,FALSE
101718,0.52,-0.281,-1.086,1695.283333,4,58,15.28333333,1.236429133,FALSE
101719,0.953,-0.285,-1.59,1695.3,4,58,15.3,1.875508998,TRUE
101720,0.871,-0.383,-2.055,1695.316667,4,58,15.31666667,2.264587159,TRUE
101721,0.922,-0.586,-1.25,1695.333333,4,58,15.33333333,1.660114454,TRUE
101722,0.75,-1.492,-1.242,1695.35,4,58,15.35,2.081136228,TRUE
101723,0.574,-1.445,-0.313,1695.366667,4,58,15.36666667,1.586023329,TRUE
101724,-0.039,0.441,-0.137,1695.383333,4,58,15.38333333,0.463433922,FALSE
101725,0.59,0.074,-0.277,1695.4,4,58,15.4,0.655976372,FALSE
101726,0.352,-0.285,-0.262,1695.416667,4,58,15.41666667,0.523233218,FALSE
101727,0.008,-0.387,-0.152,1695.433333,4,58,15.43333333,0.415856947,FALSE
101728,0.352,-1.277,0.156,1695.45,4,58,15.45,1.333779967,FALSE
101729,0.996,-2.547,-0.344,1695.466667,4,58,15.46666667,2.756367356,TRUE
101730,1.938,-2.207,-0.109,1695.483333,4,58,15.48333333,2.939145114,TRUE
101731,1.141,-1.5,-0.027,1695.5,4,58,15.5,1.884836863,TRUE
101732,0.77,-1.059,-0.238,1695.516667,4,58,15.51666667,1.330798632,FALSE
101733,0.617,-0.84,-0.309,1695.533333,4,58,15.53333333,1.087092452,FALSE
101734,0.695,-0.676,-0.18,1695.55,4,58,15.55,0.98610395,FALSE
101735,0.551,-0.566,-0.152,1695.566667,4,58,15.56666667,0.804401019,FALSE
101736,0.621,-0.617,-0.203,1695.583333,4,58,15.58333333,0.898631738,FALSE
101737,0.867,-0.656,-0.254,1695.6,4,58,15.6,1.116486005,FALSE
101738,0.777,-0.664,-0.477,1695.616667,4,58,15.61666667,1.127898045,FALSE
101739,0.504,-0.641,-0.555,1695.633333,4,58,15.63333333,0.986368085,FALSE
101740,0.418,-0.516,-0.492,1695.65,4,58,15.65,0.82646476,FALSE
101741,0.402,-0.398,-0.605,1695.666667,4,58,15.66666667,0.828271091,FALSE
101742,0.613,-0.402,-0.934,1695.683333,4,58,15.68333333,1.187320092,FALSE
101743,0.801,-0.363,-1.215,1695.7,4,58,15.7,1.499864994,FALSE
101744,0.93,-0.41,-1.563,1695.716667,4,58,15.71666667,1.864395076,TRUE
101745,0.957,-0.461,-1.695,1695.733333,4,58,15.73333333,2.00034872,TRUE
101746,0.754,-0.762,-0.777,1695.75,4,58,15.75,1.323967145,FALSE
101747,0.707,-1.75,-1.816,1695.766667,4,58,15.76666667,2.619199305,TRUE
101748,0.605,-1.109,0.07,1695.783333,4,58,15.78333333,1.265229623,FALSE
101749,-0.219,0.559,0.016,1695.8,4,58,15.8,0.600581385,FALSE
101750,0.438,-0.051,-0.258,1695.816667,4,58,15.81666667,0.510890399,FALSE
101751,0.426,-0.258,-0.176,1695.833333,4,58,15.83333333,0.528219651,FALSE
101752,0.141,-0.68,0.117,1695.85,4,58,15.85,0.704251376,FALSE
101753,0.523,-2.258,-0.316,1695.866667,4,58,15.86666667,2.339219742,TRUE
101754,1.547,-2.203,-0.258,1695.883333,4,58,15.88333333,2.704252577,TRUE
101755,1.48,-1.965,-0.078,1695.9,4,58,15.9,2.461241353,TRUE
101756,0.949,-1.332,-0.16,1695.916667,4,58,15.91666667,1.643296991,TRUE
101757,0.703,-0.969,-0.242,1695.933333,4,58,15.93333333,1.221365629,FALSE
101758,0.758,-0.785,-0.207,1695.95,4,58,15.95,1.110692577,FALSE
101759,0.645,-0.645,-0.215,1695.966667,4,58,15.96666667,0.937163273,FALSE
101760,0.547,-0.586,-0.219,1695.983333,4,58,15.98333333,0.831003008,FALSE
101761,0.629,-0.656,-0.266,1696,4,58,16,0.946959872,FALSE
101762,0.805,-0.715,-0.332,1696.016667,4,58,16.01666667,1.126709368,FALSE
101763,0.719,-0.633,-0.496,1696.033333,4,58,16.03333333,1.078733517,FALSE
101764,0.594,-0.516,-0.398,1696.05,4,58,16.05,0.881757336,FALSE
101765,0.441,-0.391,-0.496,1696.066667,4,58,16.06666667,0.770310327,FALSE
101766,0.188,-0.285,-0.691,1696.083333,4,58,16.08333333,0.770746391,FALSE
101767,0.395,-0.336,-1.043,1696.1,4,58,16.1,1.164804705,FALSE
