,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
117568,0.285,-0.141,-0.133,1959.45,5,2,39.45,0.344666505,FALSE
117569,0.605,-0.211,-0.352,1959.466667,5,2,39.46666667,0.731060873,FALSE
117570,0.191,-0.105,-0.223,1959.483333,5,2,39.48333333,0.311825272,FALSE
117571,0.598,-0.434,-0.039,1959.5,5,2,39.5,0.73991959,FALSE
117572,0.809,-0.813,0.027,1959.516667,5,2,39.51666667,1.147248447,FALSE
117573,1.02,-1.434,-0.699,1959.533333,5,2,39.53333333,1.893503895,TRUE
117574,0.188,-2.445,-1.469,1959.55,5,2,39.55,2.85855383,TRUE
117575,0.906,-1.582,-0.785,1959.566667,5,2,39.56666667,1.984889166,TRUE
117576,1.066,-1.082,-0.668,1959.583333,5,2,39.58333333,1.65930829,TRUE
117577,0.895,-0.762,-0.637,1959.6,5,2,39.6,1.336951009,FALSE
117578,0.492,-0.875,-0.734,1959.616667,5,2,39.61666667,1.243561418,FALSE
117579,0.547,-0.656,-0.672,1959.633333,5,2,39.63333333,1.086797589,FALSE
117580,0.703,-0.555,-0.586,1959.65,5,2,39.65,1.070341067,FALSE
117581,0.832,-0.445,-0.535,1959.666667,5,2,39.66666667,1.084653862,FALSE
117582,0.563,-0.363,-0.574,1959.683333,5,2,39.68333333,0.882164384,FALSE
117583,0.52,-0.148,-0.496,1959.7,5,2,39.7,0.733702937,FALSE
117584,0.465,-0.047,-0.469,1959.716667,5,2,39.71666667,0.662114039,FALSE
117585,0.473,-0.008,-0.457,1959.733333,5,2,39.73333333,0.657755274,FALSE
117586,0.246,0.102,-0.441,1959.75,5,2,39.75,0.515170845,FALSE
117587,0.23,0.059,-0.527,1959.766667,5,2,39.76666667,0.578022491,FALSE
117588,0.266,0.055,-0.547,1959.783333,5,2,39.78333333,0.610729073,FALSE
117589,0.133,0.043,-0.539,1959.8,5,2,39.8,0.556829417,FALSE
117590,0.07,-0.008,-0.566,1959.816667,5,2,39.81666667,0.570368302,FALSE
117591,0.254,-0.16,-0.66,1959.833333,5,2,39.83333333,0.725062756,FALSE
117592,0.309,-0.305,-0.668,1959.85,5,2,39.85,0.796699441,FALSE
117593,0.5,-0.441,-0.691,1959.866667,5,2,39.86666667,0.960188523,FALSE
117594,0.531,-0.547,-0.699,1959.883333,5,2,39.88333333,1.034297346,FALSE
117595,0.582,-0.668,-0.742,1959.9,5,2,39.9,1.155643544,FALSE
117596,0.254,-0.688,-0.836,1959.916667,5,2,39.91666667,1.11209532,FALSE
117597,1.066,-1.047,-0.379,1959.933333,5,2,39.93333333,1.541494729,TRUE
117598,0.684,-1.004,-0.367,1959.95,5,2,39.95,1.2690788,FALSE
117599,0.453,-1.461,-0.375,1959.966667,5,2,39.96666667,1.574914283,TRUE
117600,0.324,-1.434,-0.32,1959.983333,5,2,39.98333333,1.504570371,TRUE
117601,0.246,-1.434,-0.406,1960,5,2,40,1.510532356,TRUE
117602,0.172,-1.301,-0.102,1960.016667,5,2,40.01666667,1.316278466,FALSE
117603,-0.066,-1.289,-0.148,1960.033333,5,2,40.03333333,1.299146258,FALSE
117604,-0.203,-1.25,-0.207,1960.05,5,2,40.05,1.283182762,FALSE
117605,-0.004,-1.223,-0.16,1960.066667,5,2,40.06666667,1.23342815,FALSE
117606,-0.121,-1.355,-0.102,1960.083333,5,2,40.08333333,1.364210394,FALSE
117607,-0.004,-1.406,-0.059,1960.1,5,2,40.1,1.407243049,FALSE
117608,0.055,-1.316,-0.238,1960.116667,5,2,40.11666667,1.338478614,FALSE
117609,0.168,-1.246,-0.109,1960.133333,5,2,40.13333333,1.261990887,FALSE
117610,0.105,-1.059,-0.059,1960.15,5,2,40.15,1.065826909,FALSE
117611,0.242,-0.824,-0.086,1960.166667,5,2,40.16666667,0.86309675,FALSE
117612,-0.09,-0.621,-0.43,1960.183333,5,2,40.18333333,0.76068456,FALSE
117613,0.293,-0.773,-0.766,1960.2,5,2,40.2,1.127002218,FALSE
117614,0.543,-1.023,-0.516,1960.216667,5,2,40.21666667,1.267925077,FALSE
117615,0.344,-0.914,-0.645,1960.233333,5,2,40.23333333,1.170366182,FALSE
117616,0.574,-0.57,-0.359,1960.25,5,2,40.25,0.885018079,FALSE
117617,0.211,-0.125,-0.164,1960.266667,5,2,40.26666667,0.295028812,FALSE
117618,0.391,0.094,-0.367,1960.283333,5,2,40.28333333,0.544431814,FALSE
117619,0.758,0.07,-0.574,1960.3,5,2,40.3,0.953383449,FALSE
117620,0.977,-1.727,-1.148,1960.316667,5,2,40.31666667,2.292370389,TRUE
117621,0.32,-0.254,0.102,1960.333333,5,2,40.33333333,0.421093814,FALSE
117622,-0.055,-0.188,-0.102,1960.35,5,2,40.35,0.2208461,FALSE
117623,0.313,-0.336,-0.035,1960.366667,5,2,40.36666667,0.460532301,FALSE
117624,0.734,-0.855,-0.074,1960.383333,5,2,40.38333333,1.129272775,FALSE
117625,0.852,-1.52,-0.348,1960.4,5,2,40.4,1.776909677,TRUE
117626,1.293,-2.41,-1.656,1960.416667,5,2,40.41666667,3.197230833,TRUE
117627,0.848,-1.531,-1.016,1960.433333,5,2,40.43333333,2.023689947,TRUE
117628,1.207,-1.133,-0.555,1960.45,5,2,40.45,1.746013459,TRUE
117629,0.82,-0.738,-0.637,1960.466667,5,2,40.46666667,1.273896778,FALSE
117630,0.539,-0.77,-0.777,1960.483333,5,2,40.48333333,1.219487597,FALSE
117631,0.57,-0.559,-0.617,1960.5,5,2,40.5,1.008994549,FALSE
117632,0.855,-0.398,-0.461,1960.516667,5,2,40.51666667,1.049738063,FALSE
117633,0.824,-0.379,-0.496,1960.533333,5,2,40.53333333,1.033747068,FALSE
117634,0.656,-0.281,-0.379,1960.55,5,2,40.55,0.808045791,FALSE
117635,0.641,-0.207,-0.406,1960.566667,5,2,40.56666667,0.786489669,FALSE
117636,0.68,-0.051,-0.426,1960.583333,5,2,40.58333333,0.804037934,FALSE
117637,0.375,0.039,-0.375,1960.6,5,2,40.6,0.531762165,FALSE
117638,0.473,-0.004,-0.461,1960.616667,5,2,40.61666667,0.660504353,FALSE
117639,0.324,0.047,-0.441,1960.633333,5,2,40.63333333,0.549241295,FALSE
117640,0.305,0.074,-0.523,1960.65,5,2,40.65,0.60994262,FALSE
117641,0.227,0.125,-0.512,1960.666667,5,2,40.66666667,0.573844927,FALSE
117642,0.156,0.105,-0.531,1960.683333,5,2,40.68333333,0.563313412,FALSE
117643,0.156,0.031,-0.578,1960.7,5,2,40.7,0.599483945,FALSE
117644,0.27,-0.105,-0.699,1960.716667,5,2,40.71666667,0.756654479,FALSE
117645,0.313,-0.219,-0.781,1960.733333,5,2,40.73333333,0.869419922,FALSE
117646,0.336,-0.348,-0.66,1960.75,5,2,40.75,0.818290902,FALSE
117647,0.602,-0.648,-0.723,1960.766667,5,2,40.76666667,1.14238216,FALSE
117648,0.664,-0.805,-0.789,1960.783333,5,2,40.78333333,1.308220929,FALSE
117649,0.422,-0.941,-0.578,1960.8,5,2,40.8,1.18222206,FALSE
117650,0.742,-1.09,-0.332,1960.816667,5,2,40.81666667,1.35973821,FALSE
117651,0.602,-1.355,-0.34,1960.833333,5,2,40.83333333,1.521193282,TRUE
117652,0.563,-1.48,-0.297,1960.85,5,2,40.85,1.611079762,TRUE
117653,0.531,-1.516,-0.285,1960.866667,5,2,40.86666667,1.631392657,TRUE
117654,0.148,-1.52,-0.281,1960.883333,5,2,40.88333333,1.552824845,TRUE
117655,0.063,-1.383,-0.07,1960.9,5,2,40.9,1.386202727,FALSE
117656,-0.117,-1.316,-0.137,1960.916667,5,2,40.91666667,1.328274821,FALSE
117657,-0.117,-1.34,-0.238,1960.933333,5,2,40.93333333,1.365991581,FALSE
117658,-0.051,-1.352,-0.16,1960.95,5,2,40.95,1.362389445,FALSE
117659,-0.035,-1.336,-0.223,1960.966667,5,2,40.96666667,1.354935423,FALSE
117660,0.035,-1.324,-0.27,1960.983333,5,2,40.98333333,1.351703,FALSE
117661,0.109,-1.207,-0.082,1961,5,2,41,1.214682675,FALSE
117662,-0.004,-1.008,-0.105,1961.016667,5,2,41.01666667,1.013461889,FALSE
117663,0.16,-0.703,-0.051,1961.033333,5,2,41.03333333,0.722779358,FALSE
117664,0.305,-0.543,-0.195,1961.05,5,2,41.05,0.652609378,FALSE
117665,0.234,-0.824,-0.715,1961.066667,5,2,41.06666667,1.115776411,FALSE
117666,0.391,-0.426,-0.789,1961.083333,5,2,41.08333333,0.978201411,FALSE
117667,0.363,-0.332,-0.828,1961.1,5,2,41.1,0.96310799,FALSE
117668,0.637,-0.453,-0.664,1961.116667,5,2,41.11666667,1.025609087,FALSE
117669,0.301,-0.895,-0.688,1961.133333,5,2,41.13333333,1.168319306,FALSE
117670,0.484,-0.977,-0.707,1961.15,5,2,41.15,1.299474509,FALSE
117671,0.48,-0.512,-0.258,1961.166667,5,2,41.16666667,0.747735247,FALSE
117672,0.445,-0.078,-0.215,1961.183333,5,2,41.18333333,0.500333889,FALSE
117673,0.348,-0.098,-0.172,1961.2,5,2,41.2,0.400364834,FALSE
117674,0.023,-0.16,-0.16,1961.216667,5,2,41.21666667,0.227440102,FALSE
117675,0.715,-0.535,-0.078,1961.233333,5,2,41.23333333,0.89640058,FALSE
117676,1.141,-1.238,-0.043,1961.25,5,2,41.25,1.684153793,TRUE
117677,0.617,-2.098,-1.133,1961.266667,5,2,41.26666667,2.462921436,TRUE
117678,1.031,-2.078,-1.027,1961.283333,5,2,41.28333333,2.536882733,TRUE
117679,0.961,-1.465,-0.871,1961.3,5,2,41.3,1.956626433,TRUE
117680,1.176,-0.828,-0.563,1961.316667,5,2,41.31666667,1.544515782,TRUE
117681,0.715,-0.957,-0.621,1961.333333,5,2,41.33333333,1.346371048,FALSE
117682,0.324,-1.008,-0.672,1961.35,5,2,41.35,1.254043061,FALSE
117683,0.512,-0.691,-0.582,1961.366667,5,2,41.36666667,1.038435843,FALSE
117684,0.434,-0.492,-0.414,1961.383333,5,2,41.38333333,0.775768007,FALSE
117685,0.578,-0.383,-0.453,1961.4,5,2,41.4,0.828240303,FALSE
117686,0.457,-0.168,-0.445,1961.416667,5,2,41.41666667,0.659619587,FALSE
117687,0.156,-0.059,-0.371,1961.433333,5,2,41.43333333,0.406765289,FALSE
117688,0.52,-0.105,-0.543,1961.45,5,2,41.45,0.75912713,FALSE
117689,0.18,0.012,-0.418,1961.466667,5,2,41.46666667,0.455266955,FALSE
117690,0.238,0.043,-0.469,1961.483333,5,2,41.48333333,0.527687407,FALSE
117691,0.234,-0.035,-0.586,1961.5,5,2,41.5,0.631962815,FALSE
117692,0.273,-0.137,-0.75,1961.516667,5,2,41.51666667,0.809813559,FALSE
117693,0.234,-0.227,-0.773,1961.533333,5,2,41.53333333,0.838936231,FALSE
117694,0.238,-0.289,-0.645,1961.55,5,2,41.55,0.745781469,FALSE
117695,0.422,-0.48,-0.633,1961.566667,5,2,41.56666667,0.899540438,FALSE
117696,0.664,-0.633,-0.715,1961.583333,5,2,41.58333333,1.163103607,FALSE
117697,0.586,-0.723,-0.602,1961.6,5,2,41.6,1.108390274,FALSE
117698,0.438,-0.906,-0.309,1961.616667,5,2,41.61666667,1.052692263,FALSE
117699,0.457,-1.355,-0.293,1961.633333,5,2,41.63333333,1.459699627,FALSE
117700,0.48,-1.547,-0.34,1961.65,5,2,41.65,1.655055588,TRUE
117701,0.508,-1.535,-0.398,1961.666667,5,2,41.66666667,1.665140535,TRUE
117702,0.191,-1.41,-0.293,1961.683333,5,2,41.68333333,1.452731909,FALSE
117703,-0.059,-1.313,-0.078,1961.7,5,2,41.7,1.316637384,FALSE
117704,-0.273,-1.344,-0.027,1961.716667,5,2,41.71666667,1.371712069,FALSE
117705,-0.254,-1.281,-0.148,1961.733333,5,2,41.73333333,1.314298672,FALSE
117706,-0.16,-1.273,-0.164,1961.75,5,2,41.75,1.293454676,FALSE
117707,0,-1.379,-0.121,1961.766667,5,2,41.76666667,1.384298378,FALSE
117708,-0.184,-1.461,-0.035,1961.783333,5,2,41.78333333,1.47295689,FALSE
117709,-0.008,-1.363,-0.215,1961.8,5,2,41.8,1.379876081,FALSE
117710,0.086,-1.305,-0.105,1961.816667,5,2,41.81666667,1.312038871,FALSE
117711,0.137,-0.992,-0.063,1961.833333,5,2,41.83333333,1.003395236,FALSE
117712,0.234,-0.664,-0.133,1961.85,5,2,41.85,0.716478192,FALSE
117713,0.367,-0.434,-0.105,1961.866667,5,2,41.86666667,0.577987889,FALSE
117714,-0.156,-0.652,-0.664,1961.883333,5,2,41.88333333,0.943576176,FALSE
117715,0.438,-0.496,-0.68,1961.9,5,2,41.9,0.94882032,FALSE
117716,0.504,-0.453,-0.992,1961.916667,5,2,41.91666667,1.201369635,FALSE
117717,0.492,-0.555,-0.727,1961.933333,5,2,41.93333333,1.038565357,FALSE
117718,0.355,-0.91,-0.852,1961.95,5,2,41.95,1.296159327,FALSE
117719,0.523,-0.777,-0.516,1961.966667,5,2,41.96666667,1.06935214,FALSE
117720,0.352,-0.434,-0.063,1961.983333,5,2,41.98333333,0.562342422,FALSE
117721,0.613,-0.34,-0.5,1962,5,2,42,0.861027874,FALSE
117722,0.262,0.043,-0.137,1962.016667,5,2,42.01666667,0.298767468,FALSE
117723,0.09,-0.227,-0.141,1962.033333,5,2,42.03333333,0.281975176,FALSE
117724,0.762,-0.438,0.027,1962.05,5,2,42.05,0.879327584,FALSE
117725,0.707,-0.941,0.289,1962.066667,5,2,42.06666667,1.211961633,FALSE
