,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
130900,0.648,0.152,-0.395,2181.65,5,6,21.65,0.773972222,FALSE
130901,0.555,0.203,-0.402,2181.666667,5,6,21.66666667,0.714729319,FALSE
130902,0.527,0.258,-0.355,2181.683333,5,6,21.68333333,0.685797346,FALSE
130903,0.434,0.266,-0.367,2181.7,5,6,21.7,0.627535656,FALSE
130904,0.293,0.262,-0.285,2181.716667,5,6,21.71666667,0.485507981,FALSE
130905,0.27,0.238,-0.332,2181.733333,5,6,21.73333333,0.489661107,FALSE
130906,0.383,0.234,-0.387,2181.75,5,6,21.75,0.592633107,FALSE
130907,0.359,0.164,-0.441,2181.766667,5,6,21.76666667,0.591825988,FALSE
130908,0.465,0.07,-0.535,2181.783333,5,6,21.78333333,0.712285055,FALSE
130909,0.691,-0.07,-0.703,2181.8,5,6,21.8,0.988225683,FALSE
130910,0.82,-0.109,-0.781,2181.816667,5,6,21.81666667,1.137647573,FALSE
130911,0.816,-0.203,-0.742,2181.833333,5,6,21.83333333,1.121440591,FALSE
130912,0.906,-0.367,-0.863,2181.85,5,6,21.85,1.30395322,FALSE
130913,1.082,-0.559,-0.805,2181.866667,5,6,21.86666667,1.459873282,FALSE
130914,1.355,-1.012,-0.84,2181.883333,5,6,21.88333333,1.88832439,TRUE
130915,1.313,-0.359,-0.48,2181.9,5,6,21.9,1.443346805,FALSE
130916,0.695,-0.828,-0.25,2181.916667,5,6,21.91666667,1.109553514,FALSE
130917,0.754,-0.773,-0.023,2181.933333,5,6,21.93333333,1.080080553,FALSE
130918,0.668,-0.848,-0.32,2181.95,5,6,21.95,1.125934279,FALSE
130919,0.574,-0.777,-0.5,2181.966667,5,6,21.96666667,1.08775227,FALSE
130920,0.453,-0.707,-0.496,2181.983333,5,6,21.98333333,0.975230229,FALSE
130921,0.551,-0.727,-0.605,2182,5,6,22,1.094602668,FALSE
130922,0.555,-0.66,-0.508,2182.016667,5,6,22.01666667,1.000844144,FALSE
130923,0.629,-0.527,-0.477,2182.033333,5,6,22.03333333,0.949156994,FALSE
130924,0.699,-0.668,-0.75,2182.05,5,6,22.05,1.22365232,FALSE
130925,0.664,-0.844,-0.941,2182.066667,5,6,22.06666667,1.427835075,FALSE
130926,0.695,-0.984,-1.109,2182.083333,5,6,22.08333333,1.637425418,TRUE
130927,0.988,-0.98,-1.238,2182.1,5,6,22.1,1.862575636,TRUE
130928,0.488,-1.047,-0.727,2182.116667,5,6,22.11666667,1.364874353,FALSE
130929,0.285,-0.672,-0.434,2182.133333,5,6,22.13333333,0.849214343,FALSE
130930,0.371,-1.41,-1.012,2182.15,5,6,22.15,1.774791537,TRUE
130931,0.332,-0.137,-0.102,2182.166667,5,6,22.16666667,0.373359076,FALSE
