,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
85940,0.438,-0.758,0.125,1432.316667,4,53,52.31666667,0.884326297,FALSE
85941,0.262,-1.547,-0.629,1432.333333,4,53,52.33333333,1.690412376,TRUE
85942,0.492,-2.234,-0.785,1432.35,4,53,52.35,2.418479894,TRUE
85943,0.688,-1.945,-0.461,1432.366667,4,53,52.36666667,2.113974929,TRUE
85944,0.332,-1.559,-0.234,1432.383333,4,53,52.38333333,1.611043451,TRUE
85945,0.227,-1.078,0.02,1432.4,4,53,52.4,1.101822581,FALSE
85946,0.156,-0.855,-0.035,1432.416667,4,53,52.41666667,0.869819522,FALSE
85947,-0.035,-0.809,-0.16,1432.433333,4,53,52.43333333,0.825412624,FALSE
85948,0.035,-0.926,-0.188,1432.45,4,53,52.45,0.945539529,FALSE
85949,0.133,-1.074,-0.078,1432.466667,4,53,52.46666667,1.08501106,FALSE
85950,0.395,-1.207,-0.066,1432.483333,4,53,52.48333333,1.271703582,FALSE
85951,0.395,-1.305,-0.223,1432.5,4,53,52.5,1.381585683,FALSE
85952,0.414,-1.398,-0.176,1432.516667,4,53,52.51666667,1.468596609,FALSE
85953,0.438,-1.508,-0.273,1432.533333,4,53,52.53333333,1.593874838,TRUE
85954,0.488,-1.605,-0.227,1432.55,4,53,52.55,1.692837263,TRUE
85955,0.297,-1.672,-0.422,1432.566667,4,53,52.56666667,1.749821991,TRUE
85956,0.211,-1.488,-0.48,1432.583333,4,53,52.58333333,1.57767709,TRUE
85957,0.391,-1.277,-0.527,1432.6,4,53,52.6,1.435736396,FALSE
85958,0.324,-1.094,-0.402,1432.616667,4,53,52.61666667,1.209717322,FALSE
85959,0.211,-0.777,-0.461,1432.633333,4,53,52.63333333,0.927777452,FALSE
85960,0.105,-0.512,-0.547,1432.65,4,53,52.65,0.756556673,FALSE
85961,0.258,-0.336,-0.637,1432.666667,4,53,52.66666667,0.765002614,FALSE
85962,0.008,-0.527,-0.941,1432.683333,4,53,52.68333333,1.078551807,FALSE
85963,0.309,-0.516,-1.117,1432.7,4,53,52.7,1.268631546,FALSE
85964,0.582,-0.57,-0.891,1432.716667,4,53,52.71666667,1.207271718,FALSE
85965,0.621,-0.836,-0.879,1432.733333,4,53,52.73333333,1.362783182,FALSE
85966,0.578,-0.816,-0.652,1432.75,4,53,52.75,1.193752068,FALSE
85967,0.234,-0.367,-0.109,1432.766667,4,53,52.76666667,0.448693659,FALSE
85968,0.227,0.125,0.105,1432.783333,4,53,52.78333333,0.279605079,FALSE
85969,0.359,-0.328,-0.211,1432.8,4,53,52.8,0.530081126,FALSE
85970,0.438,-0.512,-0.188,1432.816667,4,53,52.81666667,0.699522694,FALSE
85971,0.621,-0.789,0.277,1432.833333,4,53,52.83333333,1.04158101,FALSE
85972,0.211,-1.82,-0.188,1432.85,4,53,52.85,1.841810251,TRUE
85973,0.664,-2.473,-0.879,1432.866667,4,53,52.86666667,2.707261716,TRUE
85974,0.363,-1.934,-0.391,1432.883333,4,53,52.88333333,2.00624176,TRUE
85975,0.07,-1.477,-0.164,1432.9,4,53,52.9,1.487724773,FALSE
85976,0.078,-1.063,-0.07,1432.916667,4,53,52.91666667,1.068154015,FALSE
85977,0.094,-0.879,-0.125,1432.933333,4,53,52.93333333,0.89280569,FALSE
85978,-0.02,-0.875,-0.191,1432.95,4,53,52.95,0.895826992,FALSE
85979,0.133,-0.941,-0.094,1432.966667,4,53,52.96666667,0.954990052,FALSE
85980,0.391,-1.074,0.012,1432.983333,4,53,52.98333333,1.143022747,FALSE
85981,0.402,-1.266,-0.203,1433,4,53,53,1.343714627,FALSE
85982,0.414,-1.313,-0.254,1433.016667,4,53,53.01666667,1.399957499,FALSE
85983,0.402,-1.301,-0.188,1433.033333,4,53,53.03333333,1.374608672,FALSE
85984,0.441,-1.344,-0.262,1433.05,4,53,53.05,1.438562129,FALSE
85985,0.344,-1.34,-0.242,1433.066667,4,53,53.06666667,1.404457191,FALSE
85986,0.277,-1.383,-0.301,1433.083333,4,53,53.08333333,1.442227097,FALSE
85987,0.238,-1.504,-0.387,1433.1,4,53,53.1,1.571123483,TRUE
85988,0.27,-1.508,-0.383,1433.116667,4,53,53.11666667,1.579130457,TRUE
85989,0.309,-1.348,-0.449,1433.133333,4,53,53.13333333,1.454024071,FALSE
85990,0.309,-1.094,-0.266,1433.15,4,53,53.15,1.167507173,FALSE
85991,0.266,-0.746,-0.262,1433.166667,4,53,53.16666667,0.834215799,FALSE
85992,0.141,-0.441,-0.469,1433.183333,4,53,53.18333333,0.659031866,FALSE
85993,0.234,-0.242,-0.719,1433.2,4,53,53.2,0.793902387,FALSE
85994,0.129,-0.473,-0.871,1433.216667,4,53,53.21666667,0.999505378,FALSE
85995,0.293,-0.469,-1.082,1433.233333,4,53,53.23333333,1.215127154,FALSE
85996,0.711,-0.391,-0.898,1433.25,4,53,53.25,1.2102917,FALSE
85997,0.367,-0.582,-0.754,1433.266667,4,53,53.26666667,1.020749235,FALSE
85998,0.551,-0.621,-0.227,1433.283333,4,53,53.28333333,0.860680545,FALSE
85999,0.543,-0.367,-0.172,1433.3,4,53,53.3,0.677585419,FALSE
86000,0.195,-0.137,-0.293,1433.316667,4,53,53.31666667,0.377681082,FALSE
86001,0.242,-0.27,-0.105,1433.333333,4,53,53.33333333,0.377477152,FALSE
86002,0.625,-0.699,0.121,1433.35,4,53,53.35,0.945445398,FALSE
86003,0.289,-1.203,0.391,1433.366667,4,53,53.36666667,1.297540365,FALSE
86004,0.426,-2.266,-0.5,1433.383333,4,53,53.38333333,2.359286333,TRUE
86005,0.859,-2.055,-0.566,1433.4,4,53,53.4,2.29809965,TRUE
86006,0.211,-1.66,-0.422,1433.416667,4,53,53.41666667,1.725747664,TRUE
86007,0.117,-1.141,-0.141,1433.433333,4,53,53.43333333,1.155617151,FALSE
86008,0.207,-0.875,-0.07,1433.45,4,53,53.45,0.901872497,FALSE
86009,-0.027,-0.898,-0.137,1433.466667,4,53,53.46666667,0.908791505,FALSE
86010,-0.035,-0.949,-0.125,1433.483333,4,53,53.48333333,0.957836625,FALSE
86011,0.176,-1.078,-0.09,1433.5,4,53,53.5,1.095974452,FALSE
