,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
159983,0.316,-1.52,-0.859,2666.366667,5,14,26.36666667,1.774299017,TRUE
159984,0.949,-1.676,-1.547,2666.383333,5,14,26.38333333,2.470381752,TRUE
159985,0.113,-0.988,-0.063,2666.4,5,14,26.4,0.996434644,FALSE
159986,0.27,0.457,-0.082,2666.416667,5,14,26.41666667,0.537096826,FALSE
159987,0.391,0.016,-0.34,2666.433333,5,14,26.43333333,0.518398495,FALSE
159988,0.465,0.008,-0.148,2666.45,5,14,26.45,0.488050202,FALSE
159989,0.227,-0.273,-0.246,2666.466667,5,14,26.46666667,0.431942126,FALSE
159990,0.258,-0.648,0.016,2666.483333,5,14,26.48333333,0.697656076,FALSE
159991,0.73,-1.766,0.043,2666.5,5,14,26.5,1.911414398,TRUE
159992,1.297,-2.93,-1.152,2666.516667,5,14,26.51666667,3.405027606,TRUE
159993,1.102,-2.137,-0.488,2666.533333,5,14,26.53333333,2.45342964,TRUE
159994,0.676,-1.402,-0.25,2666.55,5,14,26.55,1.576413651,TRUE
159995,0.719,-1.004,-0.336,2666.566667,5,14,26.56666667,1.279794124,FALSE
159996,0.609,-0.871,-0.242,2666.583333,5,14,26.58333333,1.089993578,FALSE
159997,0.539,-0.688,-0.164,2666.6,5,14,26.6,0.889247435,FALSE
159998,0.547,-0.648,-0.152,2666.616667,5,14,26.61666667,0.861520168,FALSE
159999,0.543,-0.715,-0.262,2666.633333,5,14,26.63333333,0.935263599,FALSE
160000,0.844,-0.699,-0.465,2666.65,5,14,26.65,1.190446135,FALSE
160001,0.766,-0.621,-0.293,2666.666667,5,14,26.66666667,1.028710844,FALSE
160002,0.555,-0.59,-0.355,2666.683333,5,14,26.68333333,0.884392447,FALSE
160003,0.488,-0.414,-0.445,2666.7,5,14,26.7,0.77946456,FALSE
160004,0.41,-0.215,-0.668,2666.716667,5,14,26.71666667,0.812741656,FALSE
160005,0.543,-0.172,-1.316,2666.733333,5,14,26.73333333,1.433976639,FALSE
160006,1.258,-0.254,-2.543,2666.75,5,14,26.75,2.848495919,TRUE
160007,1.277,-0.004,-1.715,2666.766667,5,14,26.76666667,2.138216547,TRUE
160008,-0.082,-1.375,-1.137,2666.783333,5,14,26.78333333,1.786090143,TRUE
160009,1.195,-2.105,-1.164,2666.8,5,14,26.8,2.685879,TRUE
160010,-0.094,-0.453,-0.004,2666.816667,5,14,26.81666667,0.462667267,FALSE
160011,0.309,0.594,-0.113,2666.833333,5,14,26.83333333,0.679033136,FALSE
160012,0.578,-0.156,-0.449,2666.85,5,14,26.85,0.748345508,FALSE
160013,0.359,0.051,-0.188,2666.866667,5,14,26.86666667,0.408443387,FALSE
160014,0.23,-0.625,-0.316,2666.883333,5,14,26.88333333,0.737143812,FALSE
160015,0.316,-0.867,0.133,2666.9,5,14,26.9,0.932327196,FALSE
160016,0.82,-2.02,-0.273,2666.916667,5,14,26.91666667,2.19711834,TRUE
160017,1.336,-2.906,-1.066,2666.933333,5,14,26.93333333,3.371362929,TRUE
160018,1.094,-1.797,-0.598,2666.95,5,14,26.95,2.187155459,TRUE
160019,0.555,-1.102,-0.492,2666.966667,5,14,26.96666667,1.3283422,FALSE
160020,0.605,-0.852,-0.191,2666.983333,5,14,26.98333333,1.062266445,FALSE
160021,0.676,-0.633,-0.031,2667,5,14,27,0.926620742,FALSE
160022,0.621,-0.621,-0.012,2667.016667,5,14,27.01666667,0.878308602,FALSE
160023,0.641,-0.656,-0.113,2667.033333,5,14,27.03333333,0.924113629,FALSE
160024,0.625,-0.656,-0.383,2667.05,5,14,27.05,0.983692025,FALSE
160025,0.699,-0.668,-0.434,2667.066667,5,14,27.06666667,1.05980234,FALSE
160026,0.539,-0.539,-0.496,2667.083333,5,14,27.08333333,0.909427292,FALSE
160027,0.406,-0.441,-0.387,2667.1,5,14,27.1,0.713502628,FALSE
160028,0.535,-0.402,-0.656,2667.116667,5,14,27.11666667,0.937104583,FALSE
160029,0.602,-0.363,-1.168,2667.133333,5,14,27.13333333,1.363230355,FALSE
160030,1.07,-0.406,-1.688,2667.15,5,14,27.15,2.039382259,TRUE
160031,1.023,-0.402,-2.094,2667.166667,5,14,27.16666667,2.364945877,TRUE
160032,0.688,-0.48,-1.367,2667.183333,5,14,27.18333333,1.603880607,TRUE
160033,0.504,-1.078,-0.711,2667.2,5,14,27.2,1.386225451,FALSE
160034,1.125,-2.035,-0.805,2667.216667,5,14,27.21666667,2.46066556,TRUE
160035,-0.133,0.09,0.137,2667.233333,5,14,27.23333333,0.21108766,FALSE
160036,0.414,0.285,-0.215,2667.25,5,14,27.25,0.546668089,FALSE
160037,0.465,-0.195,-0.355,2667.266667,5,14,27.26666667,0.616664414,FALSE
160038,0.324,-0.086,-0.301,2667.283333,5,14,27.28333333,0.450525249,FALSE
