,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
176088,0.461,-0.281,-0.82,2934.783333,5,18,54.78333333,0.981774923,FALSE
176089,0.969,-0.328,-1.242,2934.8,5,18,54.8,1.60907085,TRUE
176090,0.367,-1.039,-0.641,2934.816667,5,18,54.81666667,1.274790571,FALSE
176091,0.66,-1.402,-0.375,2934.833333,5,18,54.83333333,1.59431145,TRUE
176092,0.617,-1.246,-0.289,2934.85,5,18,54.85,1.420114784,FALSE
176093,0.422,-0.82,-0.352,2934.866667,5,18,54.86666667,0.987110936,FALSE
176094,0.398,-0.75,-0.27,2934.883333,5,18,54.88333333,0.890956789,FALSE
176095,0.43,-0.887,-0.336,2934.9,5,18,54.9,1.041424505,FALSE
176096,0.449,-0.918,-0.375,2934.916667,5,18,54.91666667,1.088554087,FALSE
176097,0.438,-0.879,-0.355,2934.933333,5,18,54.93333333,1.044274868,FALSE
176098,0.453,-0.891,-0.336,2934.95,5,18,54.95,1.054507468,FALSE
176099,0.434,-0.879,-0.309,2934.966667,5,18,54.96666667,1.027851157,FALSE
176100,0.453,-0.848,-0.313,2934.983333,5,18,54.98333333,1.011079621,FALSE
176101,0.438,-0.809,-0.328,2935,5,18,55,0.976682651,FALSE
176102,0.438,-0.844,-0.352,2935.016667,5,18,55.01666667,1.013944772,FALSE
176103,0.465,-0.871,-0.359,2935.033333,5,18,55.03333333,1.050593642,FALSE
176104,0.465,-0.852,-0.344,2935.05,5,18,55.05,1.029788813,FALSE
176105,0.473,-0.863,-0.348,2935.066667,5,18,55.06666667,1.043840026,FALSE
176106,0.469,-0.859,-0.355,2935.083333,5,18,55.08333333,1.041089333,FALSE
176107,0.496,-0.855,-0.387,2935.1,5,18,55.1,1.061513071,FALSE
176108,0.508,-0.84,-0.375,2935.116667,5,18,55.11666667,1.050851559,FALSE
176109,0.504,-0.84,-0.391,2935.133333,5,18,55.13333333,1.054749733,FALSE
176110,0.504,-0.848,-0.391,2935.15,5,18,55.15,1.061131943,FALSE
176111,0.512,-0.844,-0.402,2935.166667,5,18,55.16666667,1.065872413,FALSE
176112,0.5,-0.824,-0.406,2935.183333,5,18,55.18333333,1.045854674,FALSE
176113,0.496,-0.82,-0.418,2935.2,5,18,55.2,1.045533357,FALSE
176114,0.508,-0.816,-0.441,2935.216667,5,18,55.21666667,1.057544798,FALSE
176115,0.512,-0.813,-0.48,2935.233333,5,18,55.23333333,1.074017225,FALSE
176116,0.52,-0.781,-0.508,2935.25,5,18,55.25,1.066970009,FALSE
176117,0.508,-0.77,-0.539,2935.266667,5,18,55.26666667,1.068403014,FALSE
176118,0.492,-0.73,-0.523,2935.283333,5,18,55.28333333,1.023959472,FALSE
176119,0.52,-0.703,-0.574,2935.3,5,18,55.3,1.045985182,FALSE
176120,0.516,-0.637,-0.582,2935.316667,5,18,55.31666667,1.005360134,FALSE
176121,0.543,-0.609,-0.625,2935.333333,5,18,55.33333333,1.027791321,FALSE
176122,0.516,-0.551,-0.668,2935.35,5,18,55.35,1.008008433,FALSE
176123,0.547,-0.488,-0.664,2935.366667,5,18,55.36666667,0.98906471,FALSE
176124,0.574,-0.441,-0.57,2935.383333,5,18,55.38333333,0.921334358,FALSE
176125,0.609,-0.449,-0.555,2935.4,5,18,55.4,0.938353345,FALSE
176126,0.664,-0.453,-0.445,2935.416667,5,18,55.41666667,0.918765476,FALSE
176127,0.762,-0.461,-0.465,2935.433333,5,18,55.43333333,1.00468403,FALSE
176128,0.605,-0.41,-0.418,2935.45,5,18,55.45,0.841931707,FALSE
176129,0.699,-0.355,-0.453,2935.466667,5,18,55.46666667,0.905447403,FALSE
176130,0.48,-0.363,-0.457,2935.483333,5,18,55.48333333,0.75565733,FALSE
176131,0.723,-0.227,-0.402,2935.5,5,18,55.5,0.857823991,FALSE
176132,0.477,-0.238,-0.41,2935.516667,5,18,55.51666667,0.672512453,FALSE
176133,0.66,-0.313,-0.297,2935.533333,5,18,55.53333333,0.78852901,FALSE
176134,0.992,-0.711,-0.234,2935.55,5,18,55.55,1.242715173,FALSE
176135,0.652,-1,-0.211,2935.566667,5,18,55.56666667,1.212280908,FALSE
176136,0.984,-1.715,-0.531,2935.583333,5,18,55.58333333,2.04730115,TRUE
176137,-0.422,-2.348,-1.273,2935.6,5,18,55.6,2.704018676,TRUE
176138,1.328,-1.406,-0.902,2935.616667,5,18,55.61666667,2.134015932,TRUE
176139,0.688,-1.32,-0.777,2935.633333,5,18,55.63333333,1.679128643,TRUE
176140,0.598,-0.996,-0.453,2935.65,5,18,55.65,1.246927825,FALSE
176141,0.633,-0.75,-0.48,2935.666667,5,18,55.66666667,1.092514988,FALSE
176142,0.465,-0.684,-0.445,2935.683333,5,18,55.68333333,0.939204983,FALSE
176143,0.539,-0.441,-0.313,2935.7,5,18,55.7,0.763525376,FALSE
176144,0.535,-0.316,-0.168,2935.716667,5,18,55.71666667,0.643665286,FALSE
176145,0.473,-0.32,-0.148,2935.733333,5,18,55.73333333,0.589943218,FALSE
176146,0.488,-0.328,-0.32,2935.75,5,18,55.75,0.669423633,FALSE
176147,0.391,-0.223,-0.352,2935.766667,5,18,55.76666667,0.571414036,FALSE
176148,0.492,-0.191,-0.383,2935.783333,5,18,55.78333333,0.652099686,FALSE
176149,0.527,-0.258,-0.605,2935.8,5,18,55.8,0.842803654,FALSE
