,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
262335,0.297,-0.461,-0.305,4372.233333,5,42,52.23333333,0.627499004,FALSE
262336,0.359,-0.516,-0.344,4372.25,5,42,52.25,0.716570304,FALSE
262337,0.473,-0.59,-0.488,4372.266667,5,42,52.26666667,0.899985,FALSE
262338,0.527,-0.516,-0.5,4372.283333,5,42,52.28333333,0.891058359,FALSE
262339,0.789,-0.578,-0.77,4372.3,5,42,52.3,1.244791147,FALSE
262340,1.047,-0.531,-1.121,4372.316667,5,42,52.31666667,1.623210091,TRUE
262341,1.215,-0.418,-1.551,4372.333333,5,42,52.33333333,2.014087883,TRUE
262342,1.242,-0.262,-2.082,4372.35,5,42,52.35,2.438428182,TRUE
262343,0.547,-0.656,-0.891,4372.366667,5,42,52.36666667,1.234271445,FALSE
262344,0.867,-1.137,-0.605,4372.383333,5,42,52.38333333,1.552573026,TRUE
262345,0.988,-1.977,-0.801,4372.4,5,42,52.4,2.350802842,TRUE
262346,0.305,-0.137,-0.238,4372.416667,5,42,52.41666667,0.410411988,FALSE
262347,0.453,-0.156,-0.355,4372.433333,5,42,52.43333333,0.596296906,FALSE
262348,0.527,-0.109,-0.375,4372.45,5,42,52.45,0.655923014,FALSE
262349,0.48,-0.125,-0.395,4372.466667,5,42,52.46666667,0.634074128,FALSE
262350,0.543,-0.121,-0.375,4372.483333,5,42,52.48333333,0.670906104,FALSE
262351,0.508,0.109,-0.367,4372.5,5,42,52.5,0.636108481,FALSE
262352,0.621,0,-0.195,4372.516667,5,42,52.51666667,0.650896305,FALSE
262353,0.555,-0.461,-0.156,4372.533333,5,42,52.53333333,0.738161229,FALSE
262354,0.844,-0.91,0.199,4372.55,5,42,52.55,1.256995227,FALSE
262355,0.871,-2.082,-0.332,4372.566667,5,42,52.56666667,2.281137655,TRUE
262356,0.512,-3.465,-1.633,4372.583333,5,42,52.58333333,3.864590276,TRUE
262357,0.309,-1.641,-0.316,4372.6,5,42,52.6,1.699475802,TRUE
262358,0.77,-1.508,-0.047,4372.616667,5,42,52.61666667,1.693863336,TRUE
262359,0.664,-1.078,-0.191,4372.633333,5,42,52.63333333,1.280414386,FALSE
262360,0.398,-0.926,-0.25,4372.65,5,42,52.65,1.038450769,FALSE
262361,0.512,-0.754,-0.188,4372.666667,5,42,52.66666667,0.930593359,FALSE
262362,0.754,-0.547,-0.141,4372.683333,5,42,52.68333333,0.942128441,FALSE
262363,0.742,-0.543,-0.266,4372.7,5,42,52.7,0.957167175,FALSE
262364,0.551,-0.43,-0.434,4372.716667,5,42,52.71666667,0.822713194,FALSE
262365,0.57,-0.418,-0.457,4372.733333,5,42,52.73333333,0.841708382,FALSE
262366,0.582,-0.285,-0.609,4372.75,5,42,52.75,0.889286231,FALSE
262367,0.496,-0.074,-0.77,4372.766667,5,42,52.76666667,0.918908048,FALSE
262368,0.891,-0.063,-1.168,4372.783333,5,42,52.78333333,1.470399266,FALSE
262369,1.051,-0.203,-1.66,4372.8,5,42,52.8,1.975198724,TRUE
262370,1.219,-0.387,-2.176,4372.816667,5,42,52.81666667,2.524025753,TRUE
262371,0.473,-1.43,-1.293,4372.833333,5,42,52.83333333,1.985063727,TRUE
