,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
249226,0.473,-0.84,-0.441,4153.75,5,39,13.75,1.060099052,FALSE
249227,0.496,-0.32,-0.281,4153.766667,5,39,13.76666667,0.653740774,FALSE
249228,0.566,-0.254,-0.449,4153.783333,5,39,13.78333333,0.765815252,FALSE
249229,0.465,-0.133,-0.359,4153.8,5,39,13.8,0.602324663,FALSE
249230,0.336,-0.051,-0.398,4153.816667,5,39,13.81666667,0.52335552,FALSE
249231,0.379,0,-0.348,4153.833333,5,39,13.83333333,0.51453377,FALSE
249232,0.516,-0.266,-0.254,4153.85,5,39,13.85,0.633662371,FALSE
249233,0.984,-0.422,-0.035,4153.866667,5,39,13.86666667,1.071244603,FALSE
249234,0.824,-0.828,-0.227,4153.883333,5,39,13.88333333,1.189995378,FALSE
249235,1.945,-1.887,-1.086,4153.9,5,39,13.9,2.919450291,TRUE
249236,0.387,-2.484,-1.645,4153.916667,5,39,13.91666667,3.00433853,TRUE
249237,0.063,-1.551,-1.656,4153.933333,5,39,13.93333333,2.269781047,TRUE
249238,0.551,-1.074,-0.512,4153.95,5,39,13.95,1.31119068,FALSE
249239,1.086,-0.441,-0.371,4153.966667,5,39,13.96666667,1.229438083,FALSE
249240,0.883,-0.566,-0.676,4153.983333,5,39,13.98333333,1.247806475,FALSE
249241,0.633,-0.609,-0.633,4154,5,39,14,1.082709102,FALSE
249242,0.914,-0.477,-0.578,4154.016667,5,39,14.01666667,1.181951353,FALSE
249243,0.66,-0.215,-0.43,4154.033333,5,39,14.03333333,0.816532302,FALSE
249244,0.418,-0.117,-0.395,4154.05,5,39,14.05,0.586888405,FALSE
249245,0.309,-0.043,-0.285,4154.066667,5,39,14.06666667,0.422557688,FALSE
249246,0.141,0.09,-0.301,4154.083333,5,39,14.08333333,0.344357373,FALSE
249247,0.129,0.191,-0.277,4154.1,5,39,14.1,0.360348442,FALSE
249248,0.211,0.254,-0.313,4154.116667,5,39,14.11666667,0.45497912,FALSE
249249,0.094,0.277,-0.277,4154.133333,5,39,14.13333333,0.402857295,FALSE
249250,0.066,0.285,-0.305,4154.15,5,39,14.15,0.422618031,FALSE
249251,-0.004,0.18,-0.457,4154.166667,5,39,14.16666667,0.491187337,FALSE
249252,0.02,0.086,-0.547,4154.183333,5,39,14.18333333,0.554080319,FALSE
249253,-0.035,-0.043,-0.547,4154.2,5,39,14.2,0.549802692,FALSE
249254,0.195,-0.367,-0.609,4154.216667,5,39,14.21666667,0.737288953,FALSE
249255,0.375,-0.664,-0.609,4154.233333,5,39,14.23333333,0.975910857,FALSE
249256,0.684,-1.141,-0.57,4154.25,5,39,14.25,1.447286081,FALSE
249257,0.691,-1.66,-0.512,4154.266667,5,39,14.26666667,1.869552085,TRUE
249258,0.762,-2.332,-0.57,4154.283333,5,39,14.28333333,2.518683783,TRUE
249259,0.613,-2.43,-0.68,4154.3,5,39,14.3,2.596741997,TRUE
249260,0.25,-2,-0.332,4154.316667,5,39,14.31666667,2.042724651,TRUE
249261,-0.152,-1.758,-0.172,4154.333333,5,39,14.33333333,1.772921882,TRUE
249262,-0.145,-1.758,-0.75,4154.35,5,39,14.35,1.916791329,TRUE
249263,0.191,-1.57,-0.566,4154.366667,5,39,14.36666667,1.679802667,TRUE
249264,-0.113,-1.191,-0.449,4154.383333,5,39,14.38333333,1.277830583,FALSE
249265,0.207,-0.707,-0.43,4154.4,5,39,14.4,0.852993552,FALSE
249266,-0.355,-0.59,-0.059,4154.416667,5,39,14.41666667,0.691090443,FALSE
249267,-0.324,-1.242,-0.773,4154.433333,5,39,14.43333333,1.498355432,FALSE
249268,0.723,-0.629,-1.059,4154.45,5,39,14.45,1.428233524,FALSE
249269,0.488,-0.672,-0.699,4154.466667,5,39,14.46666667,1.085508637,FALSE
249270,0.098,-0.855,-0.273,4154.483333,5,39,14.48333333,0.902861008,FALSE
249271,0.281,-0.758,-0.297,4154.5,5,39,14.5,0.861239804,FALSE
249272,1.078,-0.422,-0.051,4154.516667,5,39,14.51666667,1.158779099,FALSE
249273,-0.129,-0.266,-0.73,4154.533333,5,39,14.53333333,0.78758936,FALSE
249274,0.246,-0.227,-0.156,4154.55,5,39,14.55,0.369297983,FALSE
249275,0.426,-1.922,-0.855,4154.566667,5,39,14.56666667,2.146295646,TRUE
249276,0.488,-0.641,-0.547,4154.583333,5,39,14.58333333,0.973773074,FALSE
249277,0.395,0.07,-0.281,4154.6,5,39,14.6,0.489781584,FALSE
249278,0.402,0,-0.242,4154.616667,5,39,14.61666667,0.46922063,FALSE
249279,0.27,-0.094,-0.227,4154.633333,5,39,14.63333333,0.36505479,FALSE
249280,0.449,-0.383,-0.164,4154.65,5,39,14.65,0.612524285,FALSE
249281,1.152,-0.676,-0.16,4154.666667,5,39,14.66666667,1.345243472,FALSE
249282,1.109,-1.551,-0.09,4154.683333,5,39,14.68333333,1.908816911,TRUE
249283,-0.996,-3.074,-1.629,4154.7,5,39,14.7,3.618719801,TRUE
249284,1.332,-2.227,-0.859,4154.716667,5,39,14.71666667,2.733428982,TRUE
249285,1.148,-0.582,-0.871,4154.733333,5,39,14.73333333,1.554113574,TRUE
249286,0.992,-1.039,-0.664,4154.75,5,39,14.75,1.582555212,TRUE
249287,0.914,-0.781,-0.59,4154.766667,5,39,14.76666667,1.339200134,FALSE
249288,0.871,-0.668,-0.508,4154.783333,5,39,14.78333333,1.209516019,FALSE
249289,0.953,-0.559,-0.402,4154.8,5,39,14.8,1.175709998,FALSE
249290,0.938,-0.488,-0.395,4154.816667,5,39,14.81666667,1.128721844,FALSE
249291,0.902,-0.273,-0.363,4154.833333,5,39,14.83333333,1.009901975,FALSE
249292,0.672,-0.117,-0.316,4154.85,5,39,14.85,0.751750624,FALSE
249293,0.543,0.063,-0.359,4154.866667,5,39,14.86666667,0.653987003,FALSE
249294,0.367,0.188,-0.215,4154.883333,5,39,14.88333333,0.465035483,FALSE
249295,0.289,0.254,-0.203,4154.9,5,39,14.9,0.435024137,FALSE
249296,0.207,0.293,-0.195,4154.916667,5,39,14.91666667,0.408317279,FALSE
249297,0.082,0.305,-0.25,4154.933333,5,39,14.93333333,0.40280144,FALSE
249298,0.074,0.309,-0.348,4154.95,5,39,14.95,0.471233488,FALSE
249299,-0.109,0.238,-0.387,4154.966667,5,39,14.96666667,0.467219435,FALSE
249300,-0.137,0.238,-0.41,4154.983333,5,39,14.98333333,0.493470364,FALSE
249301,-0.086,0.039,-0.492,4155,5,39,15,0.50098004,FALSE
249302,-0.035,-0.078,-0.422,4155.016667,5,39,15.01666667,0.430572874,FALSE
249303,0.215,-0.414,-0.426,4155.033333,5,39,15.03333333,0.631741244,FALSE
249304,0.391,-0.762,-0.496,4155.05,5,39,15.05,0.989717637,FALSE
