,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
149597,0.25,-1.516,-0.266,2493.266667,5,11,33.26666667,1.559330626,TRUE
149598,0.203,-1.531,-0.406,2493.283333,5,11,33.28333333,1.596873821,TRUE
149599,0.156,-1.512,-0.449,2493.3,5,11,33.3,1.584954573,TRUE
149600,0.172,-1.285,-0.391,2493.316667,5,11,33.31666667,1.354138102,FALSE
149601,0.063,-0.984,-0.371,2493.333333,5,11,33.33333333,1.05350178,FALSE
149602,0.102,-0.82,-0.664,2493.35,5,11,33.35,1.060047169,FALSE
149603,0.105,-0.645,-0.871,2493.366667,5,11,33.36666667,1.088894393,FALSE
149604,-0.027,-0.805,-0.293,2493.383333,5,11,33.38333333,0.857089844,FALSE
149605,0.555,-1.012,-0.984,2493.4,5,11,33.4,1.516715201,TRUE
149606,0.5,-0.945,-0.824,2493.416667,5,11,33.41666667,1.349815173,FALSE
149607,0.555,-0.73,-0.539,2493.433333,5,11,33.43333333,1.063694505,FALSE
149608,0.207,-0.758,-0.66,2493.45,5,11,33.45,1.026164217,FALSE
149609,0.73,-0.609,-0.594,2493.466667,5,11,33.46666667,1.120989295,FALSE
149610,0.473,-0.457,-0.148,2493.483333,5,11,33.48333333,0.674152802,FALSE
149611,0.051,0.133,-0.168,2493.5,5,11,33.5,0.220258939,FALSE
149612,0.246,0.066,0.109,2493.516667,5,11,33.51666667,0.277043318,FALSE
149613,0.434,-0.262,-0.18,2493.533333,5,11,33.53333333,0.537959106,FALSE
149614,0.477,-0.457,-0.047,2493.55,5,11,33.55,0.662259013,FALSE
149615,0.387,-0.953,0.355,2493.566667,5,11,33.56666667,1.088119019,FALSE
149616,0.105,-1.867,0.023,2493.583333,5,11,33.58333333,1.870091709,TRUE
149617,0.625,-2.672,-0.246,2493.6,5,11,33.6,2.755127039,TRUE
149618,0.586,-1.648,-0.141,2493.616667,5,11,33.61666667,1.754759528,TRUE
149619,-0.316,-1.215,-0.363,2493.633333,5,11,33.63333333,1.306847351,FALSE
149620,-0.012,-1.102,-0.285,2493.65,5,11,33.65,1.138320254,FALSE
149621,0.191,-0.887,-0.035,2493.666667,5,11,33.66666667,0.908006057,FALSE
149622,0.004,-1.016,0.113,2493.683333,5,11,33.68333333,1.022272469,FALSE
149623,0.223,-1.102,0.188,2493.7,5,11,33.7,1.139946051,FALSE
149624,0.309,-1.297,-0.008,2493.716667,5,11,33.71666667,1.333324417,FALSE
149625,0.328,-1.379,-0.129,2493.733333,5,11,33.73333333,1.423329196,FALSE
149626,0.418,-1.332,-0.145,2493.75,5,11,33.75,1.403557266,FALSE
149627,0.348,-1.359,-0.16,2493.766667,5,11,33.76666667,1.411943696,FALSE
149628,0.203,-1.293,-0.152,2493.783333,5,11,33.78333333,1.317635003,FALSE
149629,0.121,-1.449,-0.277,2493.8,5,11,33.8,1.480192893,FALSE
149630,0.234,-1.477,-0.363,2493.816667,5,11,33.81666667,1.538848271,TRUE
149631,0.16,-1.41,-0.418,2493.833333,5,11,33.83333333,1.479332282,FALSE
149632,0.211,-1.219,-0.32,2493.85,5,11,33.85,1.277842713,FALSE
149633,0.004,-0.973,-0.402,2493.866667,5,11,33.86666667,1.052781554,FALSE
149634,0.125,-0.707,-0.434,2493.883333,5,11,33.88333333,0.838945767,FALSE
149635,-0.027,-0.672,-0.484,2493.9,5,11,33.9,0.828594593,FALSE
149636,0.078,-0.879,-0.719,2493.916667,5,11,33.91666667,1.138282039,FALSE
149637,0.645,-0.473,-1.281,2493.933333,5,11,33.93333333,1.510203629,TRUE
