,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
238230,0.246,0.16,-0.328,3970.483333,5,36,10.48333333,0.440113622,FALSE
238231,0.277,0.191,-0.367,3970.5,5,36,10.5,0.497894567,FALSE
238232,0.355,0.09,-0.355,3970.516667,5,36,10.51666667,0.510049017,FALSE
238233,0.402,-0.063,-0.465,3970.533333,5,36,10.53333333,0.61789805,FALSE
238234,0.695,-0.246,-0.629,3970.55,5,36,10.55,0.969114028,FALSE
238235,0.773,-0.422,-0.57,3970.566667,5,36,10.56666667,1.049053383,FALSE
238236,0.566,-0.598,-0.41,3970.583333,5,36,10.58333333,0.919815199,FALSE
238237,0.785,-0.887,-0.332,3970.6,5,36,10.6,1.230129262,FALSE
238238,0.875,-1.059,-0.199,3970.616667,5,36,10.61666667,1.388058716,FALSE
238239,1.219,-1.238,-0.102,3970.633333,5,36,10.63333333,1.740404838,TRUE
238240,1.309,-1.32,-0.25,3970.65,5,36,10.65,1.875734789,TRUE
238241,1.281,-1.262,-0.266,3970.666667,5,36,10.66666667,1.817790142,TRUE
238242,1.004,-1.246,-0.523,3970.683333,5,36,10.68333333,1.683466958,TRUE
238243,1.066,-1.086,-0.723,3970.7,5,36,10.7,1.684779214,TRUE
238244,1.094,-0.871,-0.762,3970.716667,5,36,10.71666667,1.59252033,TRUE
238245,0.609,-0.637,-0.66,3970.733333,5,36,10.73333333,1.101022252,FALSE
238246,0.609,-0.52,-0.715,3970.75,5,36,10.75,1.073548322,FALSE
238247,0.645,-0.551,-0.832,3970.766667,5,36,10.76666667,1.188212944,FALSE
238248,0.707,-0.324,0.148,3970.783333,5,36,10.78333333,0.791662175,FALSE
238249,0.336,-1.891,-0.387,3970.8,5,36,10.8,1.959220763,TRUE
238250,0.816,-0.801,-0.309,3970.816667,5,36,10.81666667,1.184456838,FALSE
238251,0.719,-0.879,-0.531,3970.833333,5,36,10.83333333,1.253619958,FALSE
238252,0.547,-0.762,-0.605,3970.85,5,36,10.85,1.116189052,FALSE
238253,0.324,-0.379,-0.277,3970.866667,5,36,10.86666667,0.570391094,FALSE
238254,0.492,0.082,0.023,3970.883333,5,36,10.88333333,0.499316533,FALSE
238255,0.281,-0.285,0.016,3970.9,5,36,10.9,0.400552119,FALSE
238256,0.27,-0.395,-0.113,3970.916667,5,36,10.91666667,0.49162384,FALSE
238257,0.246,-0.254,-0.051,3970.933333,5,36,10.93333333,0.35725761,FALSE
238258,0.945,-0.418,0.398,3970.95,5,36,10.95,1.107317931,FALSE
238259,1.184,-0.875,0.691,3970.966667,5,36,10.96666667,1.626333914,TRUE
238260,0.949,-1.434,-0.02,3970.983333,5,36,10.98333333,1.719696776,TRUE
238261,0.801,-2.688,-1.246,3971,5,36,11,3.069114042,TRUE
238262,0.957,-1.965,-0.887,3971.016667,5,36,11.01666667,2.358779981,TRUE
238263,1.379,-0.934,-0.574,3971.033333,5,36,11.03333333,1.761667676,TRUE
238264,1.105,-1.043,-0.285,3971.05,5,36,11.05,1.545994502,TRUE
238265,1.098,-0.801,-0.457,3971.066667,5,36,11.06666667,1.433894696,FALSE
238266,0.672,-0.633,-0.379,3971.083333,5,36,11.08333333,0.997954909,FALSE
238267,0.672,-0.352,-0.289,3971.1,5,36,11.1,0.811793693,FALSE
238268,0.656,-0.191,-0.223,3971.116667,5,36,11.11666667,0.718711347,FALSE
238269,0.566,-0.063,-0.176,3971.133333,5,36,11.13333333,0.596071304,FALSE
238270,0.355,0.035,-0.152,3971.15,5,36,11.15,0.387755077,FALSE
238271,0.242,0.098,-0.195,3971.166667,5,36,11.16666667,0.325872675,FALSE
238272,0.32,0.227,-0.199,3971.183333,5,36,11.18333333,0.439920447,FALSE
238273,0.172,0.145,-0.254,3971.2,5,36,11.2,0.339300752,FALSE
238274,0.172,0.023,-0.402,3971.216667,5,36,11.21666667,0.437854999,FALSE
238275,0.273,-0.113,-0.625,3971.233333,5,36,11.23333333,0.691319752,FALSE
238276,0.227,-0.273,-0.539,3971.25,5,36,11.25,0.645429314,FALSE
238277,0.273,-0.637,-0.328,3971.266667,5,36,11.26666667,0.766734635,FALSE
238278,0.645,-1.164,-0.25,3971.283333,5,36,11.28333333,1.354038773,FALSE
238279,1.375,-1.543,-0.23,3971.3,5,36,11.3,2.079512924,TRUE
238280,1.246,-1.723,-0.223,3971.316667,5,36,11.31666667,2.137983629,TRUE
238281,1.375,-1.918,-0.387,3971.333333,5,36,11.33333333,2.39146775,TRUE
238282,1.324,-1.785,-0.477,3971.35,5,36,11.35,2.273044214,TRUE
238283,1.211,-1.453,-0.613,3971.366667,5,36,11.36666667,1.988340766,TRUE
238284,0.816,-1,-0.668,3971.383333,5,36,11.38333333,1.453299694,FALSE
238285,0.852,-1.121,-0.902,3971.4,5,36,11.4,1.672168951,TRUE
238286,0.555,-0.547,-0.66,3971.416667,5,36,11.41666667,1.02119244,FALSE
238287,0.297,-0.438,-0.586,3971.433333,5,36,11.43333333,0.789587867,FALSE
238288,0.719,-0.477,-0.793,3971.45,5,36,11.45,1.171895473,FALSE
238289,0.313,-0.281,0.07,3971.466667,5,36,11.46666667,0.426415291,FALSE
238290,0.418,-1.645,-0.629,3971.483333,5,36,11.48333333,1.810080109,TRUE
238291,0.996,-0.691,-0.227,3971.5,5,36,11.5,1.233298828,FALSE
238292,0.801,-0.781,-0.48,3971.516667,5,36,11.51666667,1.217358616,FALSE
238293,0.402,-0.758,-0.535,3971.533333,5,36,11.53333333,1.011134511,FALSE
238294,0.34,-0.422,-0.176,3971.55,5,36,11.55,0.569789435,FALSE
238295,0.418,-0.137,-0.16,3971.566667,5,36,11.56666667,0.468073712,FALSE
238296,0.512,-0.43,-0.16,3971.583333,5,36,11.58333333,0.687491091,FALSE
238297,-0.09,-0.258,0.094,3971.6,5,36,11.6,0.288963666,FALSE
238298,0.195,-0.234,0.379,3971.616667,5,36,11.61666667,0.486232455,FALSE
238299,1.023,-0.688,0.277,3971.633333,5,36,11.63333333,1.263567173,FALSE
238300,1.203,-1.336,0.195,3971.65,5,36,11.65,1.808350077,TRUE
238301,1.082,-2.223,0.039,3971.666667,5,36,11.66666667,2.472645142,TRUE
238302,0.965,-2.367,-1.055,3971.683333,5,36,11.68333333,2.765309928,TRUE
238303,0.492,-1.902,-1.102,3971.7,5,36,11.7,2.252570088,TRUE
238304,1.16,-0.957,-0.531,3971.716667,5,36,11.71666667,1.594807198,TRUE
238305,0.898,-0.875,-0.215,3971.733333,5,36,11.73333333,1.272106128,FALSE
238306,0.957,-0.516,-0.438,3971.75,5,36,11.75,1.172155706,FALSE
238307,0.586,-0.359,-0.348,3971.766667,5,36,11.76666667,0.770312274,FALSE
238308,0.438,-0.199,-0.297,3971.783333,5,36,11.78333333,0.565379519,FALSE
238309,0.594,-0.063,-0.199,3971.8,5,36,11.8,0.629607814,FALSE
238310,0.629,-0.043,-0.188,3971.816667,5,36,11.81666667,0.657901208,FALSE
238311,0.426,0.027,-0.125,3971.833333,5,36,11.83333333,0.444780845,FALSE
238312,0.398,0.145,-0.203,3971.85,5,36,11.85,0.469721194,FALSE
238313,0.363,0.195,-0.168,3971.866667,5,36,11.86666667,0.444992135,FALSE
238314,0.348,0.184,-0.215,3971.883333,5,36,11.88333333,0.448536509,FALSE
238315,0.43,0.105,-0.414,3971.9,5,36,11.9,0.606070128,FALSE
238316,0.277,0.02,-0.547,3971.916667,5,36,11.91666667,0.613463935,FALSE
238317,0.422,-0.191,-0.602,3971.933333,5,36,11.93333333,0.759584755,FALSE
238318,0.723,-0.527,-0.684,3971.95,5,36,11.95,1.126194477,FALSE
238319,0.895,-0.746,-0.594,3971.966667,5,36,11.96666667,1.307813825,FALSE
238320,1.113,-0.996,-0.379,3971.983333,5,36,11.98333333,1.540917259,TRUE
238321,1.293,-1.117,-0.23,3972,5,36,12,1.724075984,TRUE
238322,1.266,-1.199,-0.176,3972.016667,5,36,12.01666667,1.752521897,TRUE
238323,1.18,-1.184,-0.316,3972.033333,5,36,12.03333333,1.701208982,TRUE
238324,0.773,-1.145,-0.668,3972.05,5,36,12.05,1.534528592,TRUE
238325,1.238,-0.672,-0.566,3972.066667,5,36,12.06666667,1.518085637,TRUE
238326,0.898,-0.945,-0.734,3972.083333,5,36,12.08333333,1.496056483,FALSE
238327,0.879,-0.656,-0.629,3972.1,5,36,12.1,1.264364663,FALSE
238328,0.746,-0.492,-0.641,3972.116667,5,36,12.11666667,1.099754973,FALSE
238329,0.902,-0.707,-1.086,3972.133333,5,36,12.13333333,1.578875866,TRUE
238330,0.684,-0.844,-0.508,3972.15,5,36,12.15,1.199273113,FALSE
238331,0.48,-1.602,-0.566,3972.166667,5,36,12.16666667,1.765548074,TRUE
238332,0.781,-0.914,-0.629,3972.183333,5,36,12.18333333,1.356833814,FALSE
238333,0.492,-0.492,-0.512,3972.2,5,36,12.2,0.863870361,FALSE
238334,0.516,-0.203,-0.305,3972.216667,5,36,12.21666667,0.632842792,FALSE
238335,0.555,-0.25,-0.223,3972.233333,5,36,12.23333333,0.648270005,FALSE
238336,0.555,-0.441,-0.492,3972.25,5,36,12.25,0.862884697,FALSE
238337,0.023,-0.035,-0.082,3972.266667,5,36,12.26666667,0.092076056,FALSE
238338,0.172,-0.27,0.137,3972.283333,5,36,12.28333333,0.348214015,FALSE
238339,0.953,-0.566,0.27,3972.3,5,36,12.3,1.140817689,FALSE
238340,1.02,-1.09,-0.172,3972.316667,5,36,12.31666667,1.502692251,TRUE
238341,1.246,-1.902,-0.051,3972.333333,5,36,12.33333333,2.274361669,TRUE
238342,1.406,-2.281,-1.121,3972.35,5,36,12.35,2.904554699,TRUE
238343,0.48,-1.531,-1.074,3972.366667,5,36,12.36666667,1.930760731,TRUE
238344,1.336,-0.723,-0.754,3972.383333,5,36,12.38333333,1.695918925,TRUE
238345,0.863,-0.84,-0.422,3972.4,5,36,12.4,1.276108538,FALSE
238346,0.941,-0.633,-0.32,3972.416667,5,36,12.41666667,1.178376001,FALSE
238347,0.773,-0.457,-0.344,3972.433333,5,36,12.43333333,0.961620507,FALSE
238348,0.672,-0.34,-0.238,3972.45,5,36,12.45,0.789827829,FALSE
238349,0.695,-0.094,-0.152,3972.466667,5,36,12.46666667,0.717610619,FALSE
238350,0.598,0.023,-0.164,3972.483333,5,36,12.48333333,0.620507051,FALSE
238351,0.406,0.066,-0.148,3972.5,5,36,12.5,0.437145285,FALSE
238352,0.332,0.191,-0.133,3972.516667,5,36,12.51666667,0.4054553,FALSE
238353,0.465,0.273,-0.211,3972.533333,5,36,12.53333333,0.57902936,FALSE
238354,0.277,0.219,-0.188,3972.55,5,36,12.55,0.400042498,FALSE
238355,0.582,0.035,-0.32,3972.566667,5,36,12.56666667,0.665093227,FALSE
238356,0.629,-0.07,-0.469,3972.583333,5,36,12.58333333,0.787719493,FALSE
238357,0.801,-0.223,-0.488,3972.6,5,36,12.6,0.964092319,FALSE
238358,0.992,-0.375,-0.57,3972.616667,5,36,12.61666667,1.203988787,FALSE
238359,1.227,-0.547,-0.637,3972.633333,5,36,12.63333333,1.486777388,FALSE
238360,1.398,-0.672,-0.539,3972.65,5,36,12.65,1.642105051,TRUE
238361,1.207,-0.797,-0.359,3972.666667,5,36,12.66666667,1.490281517,FALSE
238362,1.184,-0.816,-0.277,3972.683333,5,36,12.68333333,1.464391,FALSE
238363,1.117,-0.684,-0.32,3972.7,5,36,12.7,1.348311908,FALSE
238364,0.734,-0.625,-0.434,3972.716667,5,36,12.71666667,1.057230817,FALSE
238365,0.34,-0.445,-0.805,3972.733333,5,36,12.73333333,0.980637548,FALSE
238366,1.191,-0.504,-1,3972.75,5,36,12.75,1.634777355,TRUE
238367,0.699,-0.52,-0.848,3972.766667,5,36,12.76666667,1.215773416,FALSE
238368,1.359,-0.855,-1.047,3972.783333,5,36,12.78333333,1.916798111,TRUE
238369,1.676,-1.148,-1.148,3972.8,5,36,12.8,2.333406094,TRUE
238370,0.637,-1.512,-0.602,3972.816667,5,36,12.81666667,1.747660436,TRUE
238371,0.438,-0.953,-0.602,3972.833333,5,36,12.83333333,1.209320884,FALSE
238372,0.785,-0.426,-0.738,3972.85,5,36,12.85,1.158596133,FALSE
238373,0.207,-0.219,-0.203,3972.866667,5,36,12.86666667,0.363344189,FALSE
238374,0.23,-0.051,0.063,3972.883333,5,36,12.88333333,0.243864717,FALSE
238375,0.27,-0.098,0.078,3972.9,5,36,12.9,0.297637363,FALSE
238376,0.172,-0.539,-0.293,3972.916667,5,36,12.91666667,0.637145195,FALSE
