,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
191875,0.465,-0.078,-0.27,3197.9,5,23,17.9,0.543331391,FALSE
191876,0.645,-0.5,-0.164,3197.916667,5,23,17.91666667,0.832418765,FALSE
191877,0.816,-0.969,-0.121,3197.933333,5,23,17.93333333,1.272579271,FALSE
191878,0.941,-1.941,-1.137,3197.95,5,23,17.95,2.438386967,TRUE
191879,1.035,-3.02,-2.137,3197.966667,5,23,17.96666667,3.841665524,TRUE
191880,1.113,-1.328,-0.652,3197.983333,5,23,17.98333333,1.851339245,TRUE
191881,0.84,-0.875,-0.617,3198,5,23,18,1.360850469,FALSE
191882,0.855,-0.668,-0.43,3198.016667,5,23,18.01666667,1.167111391,FALSE
191883,0.488,-0.52,-0.496,3198.033333,5,23,18.03333333,0.868654131,FALSE
191884,0.473,-0.258,-0.438,3198.05,5,23,18.05,0.694360857,FALSE
191885,0.477,-0.109,-0.469,3198.066667,5,23,18.06666667,0.677769135,FALSE
191886,0.434,-0.012,-0.465,3198.083333,5,23,18.08333333,0.636180006,FALSE
191887,0.395,0.023,-0.5,3198.1,5,23,18.1,0.637615872,FALSE
191888,0.355,0.129,-0.496,3198.116667,5,23,18.11666667,0.623443662,FALSE
191889,0.223,0.215,-0.434,3198.133333,5,23,18.13333333,0.533207277,FALSE
191890,0.34,0.195,-0.43,3198.15,5,23,18.15,0.581829013,FALSE
191891,0.344,0.125,-0.422,3198.166667,5,23,18.16666667,0.558609882,FALSE
191892,0.414,-0.02,-0.543,3198.183333,5,23,18.18333333,0.683114193,FALSE
191893,0.512,-0.133,-0.578,3198.2,5,23,18.2,0.783528557,FALSE
191894,0.527,-0.34,-0.668,3198.216667,5,23,18.21666667,0.916271248,FALSE
191895,0.719,-0.484,-0.781,3198.233333,5,23,18.23333333,1.166695333,FALSE
191896,0.789,-0.613,-0.797,3198.25,5,23,18.25,1.278084113,FALSE
191897,0.957,-0.852,-0.711,3198.266667,5,23,18.26666667,1.465357977,FALSE
191898,1.039,-1.051,-0.691,3198.283333,5,23,18.28333333,1.631442,TRUE
191899,1.148,-1.066,-0.688,3198.3,5,23,18.3,1.711024255,TRUE
191900,1.063,-0.73,-0.66,3198.316667,5,23,18.31666667,1.448609333,FALSE
191901,0.852,-0.715,-0.57,3198.333333,5,23,18.33333333,1.249811586,FALSE
191902,0.457,-0.566,-0.555,3198.35,5,23,18.35,0.915002732,FALSE
191903,0.297,-0.535,-0.793,3198.366667,5,23,18.36666667,1.001640155,FALSE
191904,0.359,-0.383,-0.82,3198.383333,5,23,18.38333333,0.97363751,FALSE
191905,0.688,-0.492,-1.125,3198.4,5,23,18.4,1.407491741,FALSE
191906,1.004,-0.602,-1.613,3198.416667,5,23,18.41666667,1.993035123,TRUE
191907,0.988,-0.766,-1.68,3198.433333,5,23,18.43333333,2.09411079,TRUE
191908,0.012,-1.871,-1.113,3198.45,5,23,18.45,2.177051676,TRUE
191909,0.707,-2.027,-1.512,3198.466667,5,23,18.46666667,2.625780265,TRUE
191910,0.199,-0.816,0.004,3198.483333,5,23,18.48333333,0.839924401,FALSE
191911,-0.164,0.703,-0.23,3198.5,5,23,18.5,0.757631177,FALSE
191912,0.383,0.152,-0.316,3198.516667,5,23,18.51666667,0.519277383,FALSE
191913,0.133,0.086,-0.207,3198.533333,5,23,18.53333333,0.260641516,FALSE
191914,0.16,-0.238,-0.141,3198.55,5,23,18.55,0.319570024,FALSE
191915,0.813,-0.734,-0.125,3198.566667,5,23,18.56666667,1.102429136,FALSE
191916,1.094,-1.25,0.344,3198.583333,5,23,18.58333333,1.696370243,TRUE
191917,0.457,-2.91,-2.266,3198.6,5,23,18.6,3.71641023,TRUE
191918,1.152,-2.316,-1.301,3198.616667,5,23,18.61666667,2.895437963,TRUE
191919,0.773,-1.371,-0.555,3198.633333,5,23,18.63333333,1.66889035,TRUE
191920,0.836,-0.922,-0.496,3198.65,5,23,18.65,1.339774608,FALSE
191921,0.73,-0.688,-0.535,3198.666667,5,23,18.66666667,1.136868066,FALSE
191922,0.363,-0.445,-0.508,3198.683333,5,23,18.68333333,0.766718984,FALSE
191923,0.523,-0.168,-0.352,3198.7,5,23,18.7,0.652423942,FALSE
191924,0.789,0,-0.344,3198.716667,5,23,18.71666667,0.860730504,FALSE
191925,0.734,-0.004,-0.477,3198.733333,5,23,18.73333333,0.8753862,FALSE
191926,0.48,0.102,-0.508,3198.75,5,23,18.75,0.706305883,FALSE
191927,0.324,0.254,-0.508,3198.766667,5,23,18.76666667,0.653877664,FALSE
191928,0.289,0.355,-0.473,3198.783333,5,23,18.78333333,0.65823628,FALSE
191929,0.457,0.23,-0.48,3198.8,5,23,18.8,0.701533321,FALSE
191930,0.344,0.109,-0.473,3198.816667,5,23,18.81666667,0.59493361,FALSE
191931,0.531,0.008,-0.5,3198.833333,5,23,18.83333333,0.729400439,FALSE
191932,0.457,-0.09,-0.559,3198.85,5,23,18.85,0.727619406,FALSE
191933,0.48,-0.258,-0.484,3198.866667,5,23,18.86666667,0.728848407,FALSE
191934,0.676,-0.418,-0.594,3198.883333,5,23,18.88333333,0.992237875,FALSE
191935,0.805,-0.496,-0.609,3198.9,5,23,18.9,1.124687512,FALSE
191936,0.734,-0.672,-0.465,3198.916667,5,23,18.91666667,1.098437527,FALSE
191937,1.082,-0.938,-0.551,3198.933333,5,23,18.93333333,1.534330147,TRUE
191938,0.969,-1.063,-0.633,3198.95,5,23,18.95,1.571502148,TRUE
191939,1.109,-1.063,-0.715,3198.966667,5,23,18.96666667,1.694424681,TRUE
191940,1.129,-0.902,-0.602,3198.983333,5,23,18.98333333,1.565454886,TRUE
191941,0.531,-0.715,-0.688,3199,5,23,19,1.12540215,FALSE
191942,0.25,-0.5,-0.723,3199.016667,5,23,19.01666667,0.913908639,FALSE
191943,0.348,-0.344,-0.641,3199.033333,5,23,19.03333333,0.806424826,FALSE
191944,0.855,-0.512,-1.066,3199.05,5,23,19.05,1.459289211,FALSE
191945,1.238,-0.613,-1.742,3199.066667,5,23,19.06666667,2.223280684,TRUE
191946,1.148,-0.559,-1.949,3199.083333,5,23,19.08333333,2.330018455,TRUE
191947,-0.23,-2.258,-1.051,3199.1,5,23,19.1,2.501212706,TRUE
191948,0.992,-1.984,-1.059,3199.116667,5,23,19.11666667,2.458007526,TRUE
191949,0.242,-1.301,-0.629,3199.133333,5,23,19.13333333,1.46519828,FALSE
191950,0.004,0.359,0.02,3199.15,5,23,19.15,0.35957892,FALSE
191951,0.379,0.27,-0.148,3199.166667,5,23,19.16666667,0.488308304,FALSE
191952,0.387,-0.188,-0.313,3199.183333,5,23,19.18333333,0.532054508,FALSE
191953,0.293,-0.063,-0.262,3199.2,5,23,19.2,0.398072858,FALSE
191954,0.461,-0.031,-0.238,3199.216667,5,23,19.21666667,0.519736472,FALSE
191955,0.434,-0.527,-0.203,3199.233333,5,23,19.23333333,0.712245744,FALSE
191956,1.234,-1.227,0.465,3199.25,5,23,19.25,1.801252342,TRUE
191957,0.977,-2.824,-2.262,3199.266667,5,23,19.26666667,3.747819233,TRUE
191958,1.352,-2.227,-1.477,3199.283333,5,23,19.28333333,2.994822532,TRUE
191959,0.727,-1.223,-0.656,3199.3,5,23,19.3,1.566714396,TRUE
191960,0.813,-0.738,-0.457,3199.316667,5,23,19.31666667,1.189311566,FALSE
191961,0.863,-0.527,-0.406,3199.333333,5,23,19.33333333,1.089648567,FALSE
191962,0.508,-0.375,-0.461,3199.35,5,23,19.35,0.781799207,FALSE
