,x,y,z,Time,Hour,Minutes,Seconds,Intensity,dt
276780,0.258,-1.316,-0.359,4612.983333,5,46,52.98333333,1.388272668,FALSE
276781,0.363,-1.074,-0.207,4613,5,46,53,1.152429607,FALSE
276782,0.41,-1.473,-0.227,4613.016667,5,46,53.01666667,1.545754832,TRUE
276783,0.121,-1.559,-0.234,4613.033333,5,46,53.03333333,1.58110025,TRUE
276784,0.082,-1.473,-0.348,4613.05,5,46,53.05,1.515769442,TRUE
276785,0.238,-1.508,-0.453,4613.066667,5,46,53.06666667,1.592456279,TRUE
276786,0.168,-1.383,-0.516,4613.083333,5,46,53.08333333,1.485654401,FALSE
276787,0.172,-1.113,-0.266,4613.1,5,46,53.1,1.157198773,FALSE
276788,0.164,-0.793,-0.426,4613.116667,5,46,53.11666667,0.914997814,FALSE
276789,0.105,-0.453,-0.469,4613.133333,5,46,53.13333333,0.660450604,FALSE
276790,0.301,-0.34,-0.805,4613.15,5,46,53.15,0.924243474,FALSE
276791,-0.02,-0.68,-1,4613.166667,5,46,53.16666667,1.209462691,FALSE
276792,0.406,-0.598,-0.516,4613.183333,5,46,53.18333333,0.888085581,FALSE
276793,0.441,-1.168,-0.816,4613.2,5,46,53.2,1.491496229,FALSE
276794,0.762,-0.875,-0.789,4613.216667,5,46,53.21666667,1.403135774,FALSE
276795,0.359,-1.012,-0.707,4613.233333,5,46,53.23333333,1.285641474,FALSE
276796,0.352,-0.41,-0.172,4613.25,5,46,53.25,0.567087295,FALSE
276797,0.074,0.035,-0.094,4613.266667,5,46,53.26666667,0.124647503,FALSE
276798,0.848,-0.32,-0.762,4613.283333,5,46,53.28333333,1.184123304,FALSE
276799,0.406,-0.121,0.063,4613.3,5,46,53.3,0.428305965,FALSE
276800,0.574,-0.59,-0.059,4613.316667,5,46,53.31666667,0.825261777,FALSE
276801,0.383,-1.063,0.191,4613.333333,5,46,53.33333333,1.145922772,FALSE
276802,0.691,-1.84,-0.336,4613.35,5,46,53.35,1.993985206,TRUE
276803,0.285,-2.629,-0.59,4613.366667,5,46,53.36666667,2.70942171,TRUE
276804,0.363,-1.91,-0.262,4613.383333,5,46,53.38333333,1.961762728,TRUE
276805,-0.102,-1.184,-0.387,4613.4,5,46,53.4,1.249811586,FALSE
276806,-0.035,-0.781,-0.234,4613.416667,5,46,53.41666667,0.816052694,FALSE
276807,0.266,-0.738,-0.059,4613.433333,5,46,53.43333333,0.786689901,FALSE
276808,0.199,-0.91,-0.105,4613.45,5,46,53.45,0.937403862,FALSE
276809,0.215,-1.086,-0.055,4613.466667,5,46,53.46666667,1.108443052,FALSE
276810,0.383,-1.199,-0.109,4613.483333,5,46,53.48333333,1.263396612,FALSE
276811,0.383,-1.629,-0.313,4613.5,5,46,53.5,1.702439133,TRUE
276812,0.289,-1.402,-0.352,4613.516667,5,46,53.51666667,1.474119737,FALSE
276813,0.375,-1.195,-0.184,4613.533333,5,46,53.53333333,1.26590126,FALSE
276814,0.117,-1.348,-0.207,4613.55,5,46,53.55,1.368810432,FALSE
276815,0.25,-1.313,-0.168,4613.566667,5,46,53.56666667,1.347105415,FALSE
276816,0.277,-1.457,-0.34,4613.583333,5,46,53.58333333,1.521570899,TRUE
276817,0.008,-1.313,-0.566,4613.6,5,46,53.6,1.429821318,FALSE
276818,0.406,-1.133,-0.5,4613.616667,5,46,53.61666667,1.303274722,FALSE
276819,0.371,-1.035,-0.348,4613.633333,5,46,53.63333333,1.153243253,FALSE
276820,0.184,-1.027,-0.418,4613.65,5,46,53.65,1.123970195,FALSE
276821,0.219,-0.75,-0.574,4613.666667,5,46,53.66666667,0.969503481,FALSE
276822,0.23,-0.461,-0.617,4613.683333,5,46,53.68333333,0.803809679,FALSE
276823,0.199,-0.488,-0.832,4613.7,5,46,53.7,0.984870042,FALSE
276824,0.266,-0.57,-0.414,4613.716667,5,46,53.71666667,0.753028552,FALSE
276825,0.266,-0.695,-0.66,4613.733333,5,46,53.73333333,0.994676329,FALSE
276826,0.656,-0.465,-0.801,4613.75,5,46,53.75,1.134972246,FALSE
276827,0.457,-0.82,-0.898,4613.766667,5,46,53.76666667,1.299096994,FALSE
276828,0.648,-0.957,-0.539,4613.783333,5,46,53.78333333,1.275254484,FALSE
276829,0.512,-0.547,-0.117,4613.8,5,46,53.8,0.758315238,FALSE
276830,0.266,0.078,-0.082,4613.816667,5,46,53.81666667,0.289074385,FALSE
276831,0.082,-0.027,-0.074,4613.833333,5,46,53.83333333,0.113705761,FALSE
276832,0.418,-0.387,-0.352,4613.85,5,46,53.85,0.669624522,FALSE
276833,0.742,-0.77,-0.078,4613.866667,5,46,53.86666667,1.072169763,FALSE
276834,0.539,-1.141,0.344,4613.883333,5,46,53.88333333,1.307951834,FALSE
276835,0.613,-2.414,-0.547,4613.9,5,46,53.9,2.549975294,TRUE
276836,0.074,-2.578,-0.852,4613.916667,5,46,53.91666667,2.716148744,TRUE
276837,-0.313,-1.281,-0.191,4613.933333,5,46,53.93333333,1.332445496,FALSE
276838,-0.465,-1.09,-0.105,4613.95,5,46,53.95,1.189684832,FALSE
276839,0.09,-0.684,0.059,4613.966667,5,46,53.96666667,0.692413894,FALSE
276840,0.059,-0.691,0.047,4613.983333,5,46,53.98333333,0.695105028,FALSE
276841,0.07,-0.969,0.023,4614,5,46,54,0.971797304,FALSE
276842,0.27,-1.488,-0.031,4614.016667,5,46,54.01666667,1.512615285,TRUE
276843,0.398,-1.68,-0.16,4614.033333,5,46,54.03333333,1.733898498,TRUE
276844,0.41,-1.441,-0.164,4614.05,5,46,54.05,1.507141997,TRUE
276845,0.352,-1.336,-0.207,4614.066667,5,46,54.06666667,1.397014316,FALSE
276846,0.199,-1.465,-0.23,4614.083333,5,46,54.08333333,1.496237281,FALSE
276847,0.207,-1.5,-0.297,4614.1,5,46,54.1,1.543067724,TRUE
276848,0.258,-1.527,-0.305,4614.116667,5,46,54.11666667,1.578390953,TRUE
276849,0.238,-1.578,-0.438,4614.133333,5,46,54.13333333,1.654863136,TRUE
276850,0.281,-1.328,-0.438,4614.15,5,46,54.15,1.42632009,FALSE
276851,0.301,-1.047,-0.441,4614.166667,5,46,54.16666667,1.17528337,FALSE
