Time,R X,R Y,R Z,L X,L Y,L Z,,Time,Mag Right,Mag Left,,Shifted left forward 0.6
0,-0.413,-0.056,-1.012,-1.059,0.059,-0.688,,0,1.094462882,1.264241274,,
0.033333333,-0.408,-0.073,-0.883,-0.785,-0.07,-0.84,,0.033333333,0.975439388,1.151835492,,
0.066666667,-0.372,-0.032,-0.874,-0.543,0.008,-0.648,,0.066666667,0.950412542,0.845468509,,
0.1,-0.405,-0.038,-0.874,-0.789,0.063,-0.73,,0.1,0.964025415,1.076749739,,
0.133333333,-0.452,-0.059,-0.85,-0.68,0.129,-0.75,,0.133333333,0.96451283,1.02055916,,
0.166666667,-0.413,-0.062,-0.874,-0.426,0.016,-0.777,,0.166666667,0.968653189,0.886262377,,
0.2,-0.431,-0.059,-0.886,-0.695,0.063,-0.715,,0.2,0.987034954,0.999109103,,
0.233333333,-0.39,-0.053,-0.868,-0.609,0.039,-0.77,,0.233333333,0.953065055,0.982497837,,
0.266666667,-0.399,-0.053,-0.871,-0.641,0.07,-0.734,,0.266666667,0.959505602,0.977004094,,
0.3,-0.413,-0.053,-0.871,-0.629,0.078,-0.75,,0.3,0.965411311,0.981949591,,
0.333333333,-0.419,-0.041,-0.862,-0.625,0.074,-0.754,,0.333333333,0.959315381,0.982149174,,
0.366666667,-0.408,-0.044,-0.877,-0.633,0.07,-0.75,,0.366666667,0.968260812,0.983915139,,
0.4,-0.425,-0.047,-0.874,-0.633,0.082,-0.754,,0.4,0.972990236,0.987891188,,
0.433333333,-0.431,-0.056,-0.856,-0.629,0.066,-0.746,,0.433333333,0.960017187,0.978014826,,
0.466666667,-0.431,-0.053,-0.856,-0.645,0.07,-0.738,,0.466666667,0.959846863,0.982633706,,
0.5,-0.437,-0.047,-0.862,-0.637,0.07,-0.742,,0.5,0.967585655,0.980424908,,
0.533333333,-0.422,-0.044,-0.856,-0.641,0.066,-0.742,,0.533333333,0.955382646,0.982751749,,
0.566666667,-0.431,-0.053,-0.862,-0.633,0.063,-0.75,,0.566666667,0.965201533,0.983441915,,
0.6,-0.44,-0.047,-0.862,-0.637,0.063,-0.742,,0.6,0.968944271,0.979949999,,
0.633333333,-0.44,-0.047,-0.859,-0.641,0.066,-0.738,,0.633333333,0.966276358,0.979735168,,
0.666666667,-0.437,-0.047,-0.862,-0.637,0.07,-0.75,,0.666666667,0.967585655,0.986493284,,
0.7,-0.44,-0.047,-0.856,-0.637,0.066,-0.75,,0.7,0.963610398,0.986217522,,
0.733333333,-0.434,-0.047,-0.868,-0.641,0.055,-0.746,,0.733333333,0.971590963,0.985099995,,
0.766666667,-0.44,-0.053,-0.856,-0.637,0.055,-0.742,,0.766666667,0.963921677,0.979468223,,
0.8,-0.44,-0.053,-0.856,-0.637,0.059,-0.746,,0.8,0.963921677,0.982733942,,
0.833333333,-0.431,-0.047,-0.848,-0.641,0.063,-0.742,,0.833333333,0.952404326,0.982554833,,
0.866666667,-0.44,-0.053,-0.856,-0.641,0.059,-0.746,,0.866666667,0.963921677,0.985331416,,
0.9,-0.446,-0.047,-0.85,-0.641,0.066,-0.75,,0.9,0.961054109,0.988805845,,
0.933333333,-0.446,-0.047,-0.859,-0.633,0.051,-0.75,,0.933333333,0.96902322,0.982746152,,
0.966666667,-0.446,-0.047,-0.856,-0.633,0.055,-0.738,,0.966666667,0.966364838,0.973836742,,
1,-0.437,-0.044,-0.856,-0.645,0.055,-0.75,,1,0.962102385,0.990732053,,
1.033333333,-0.446,-0.047,-0.859,-0.641,0.051,-0.738,,1.033333333,0.96902322,0.978839108,,
1.066666667,-0.446,-0.053,-0.856,-0.641,0.055,-0.734,,1.066666667,0.96667523,0.976044056,,
