Frame#,Time,XW,YW,ZW,XRM,YRM,ZRM,VXW,VYW,VZW,VXRM,VYRM,VZRM,AXW,AYW,AZW,AXRM,AYRM,AZRM,AXRM_G,AYRM_G,AZRM_G
1,0,-24.34645,27.21676,88.16554,-14.17136,26.67424,119.09508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.017,-24.41113,27.30961,88.20524,-14.19096,26.724,119.11756,-3.804705882,-0.003803593,0.001453701,-0.000222209,-0.003506458,0.000841191,0,0,0,0,0,0,0,0,0
3,0.033,-24.48543,27.37782,88.24315,-14.24303,26.78919,119.14154,-4.64375,-0.918034993,0.555783609,-1.373516223,-1.251968504,0.367847829,-52.44025735,12.30459489,8.126812912,-36.22511247,23.9766093,5.629799632,-3.696440048,2.446592786,0.57446935
4,0.05,-24.54402,27.48788,88.29836,-14.27029,26.80985,119.17592,-3.446470588,-1.878477556,0.501635472,-0.493751132,-0.757887014,1.664085189,70.42820069,16.3926022,-0.491987442,15.93488663,-18.12477953,62.74140171,1.62600884,-1.849467299,6.402183848
5,0.067,-24.5831,27.58836,88.31149,-14.33409,26.88292,119.21337,-2.298823529,-2.571136131,0.130672771,-4.859101295,-1.145297806,0.512522239,67.50865052,17.72411912,-3.69190586,-332.4714518,6.072269462,-15.75972287,-33.92565835,0.619619333,-1.608134987
6,0.083,-24.62028,27.67215,88.32317,-14.37384,26.94193,119.21439,-2.32375,-2.253630984,0.139396109,-3.403253425,-1.484528302,0.017285206,-1.557904412,-8.53967581,0.104109543,124.6445094,8.534100534,-8.392425573,12.71882749,0.870826585,-0.856369956
7,0.1,-24.64715,27.80487,88.32246,-14.39268,26.99485,119.20396,-1.580588235,-4.939337551,-0.005349608,26.53521127,-2.808917197,-0.197089947,43.71539792,99.9518633,-1.090609686,-42166.85168,70.29665051,-4.050928817,-4302.739967,7.173127603,-0.413360083
8,0.117,-24.67244,27.88331,88.32303,-14.40199,27.05429,119.18143,-1.487647059,-3.101621194,0.007266701,-16.33333333,-6.38453276,-0.379037685,5.467128028,-72.66573179,0.160840246,-75207.97298,384.061822,-3.061031931,-7674.282957,39.18998184,-0.312350197
9,0.133,-24.69168,28.01253,88.30318,-14.41085,27.12911,119.16379,-1.2025,-6.716216216,-0.153613992,0.446347607,-8.44469526,-0.235765838,17.82169118,187.8687641,-1.24501387,-845.3239769,232.5239841,1.914887023,-86.25754866,23.72693715,0.195396635
10,0.15,-24.66777,28.12219,88.26311,-14.37878,27.19718,119.14972,1.406470588,4.586365537,-0.365402152,-0.800349389,2.122544434,-0.206698986,153.4688581,472.7135823,-1.931316437,31.11297718,329.5054473,0.427014128,3.17479359,33.62300483,0.04357287
11,0.167,-24.66847,28.21696,88.24195,-14.37843,27.24905,119.10041,-0.041176471,-135.3857143,-0.223277408,-0.016540643,148.2,-0.950645845,-85.15570934,199960.114,1.499680739,-37.04200122,417364.1588,-14.34252668,-3.779796043,42588.17947,-1.463523131
12,0.183,-24.64055,28.36862,88.2086,-14.35619,27.35786,119.07445,1.745,5.431948424,-0.219899776,-0.666866567,4.892535971,-0.238581013,111.6360294,5043.612561,0.022271084,19.50002771,-6443.680937,6.544112054,1.989798746,-657.518463,0.667766536
13,0.2,-24.6265,28.46509,88.15511,-14.33462,27.4234,119.01668,0.826470588,6.866192171,-0.554472893,-0.403252944,3.038479369,-0.881446445,-54.03114187,102.0814055,-3.468157119,-4.928278599,-85.9553362,-9.808749346,-0.502885571,-8.770952673,-1.00089279
14,0.217,-24.6111,28.60412,88.11477,-14.26517,27.53775,118.96254,0.905882353,9.027922078,-0.290153204,-1.721616262,1.646508279,-0.473458679,4.671280277,140.3720719,1.90117017,32.68129195,-20.04278028,3.567886012,3.334825709,-2.045181661,0.364070001
15,0.233,-24.6158,28.72734,88.07623,-14.239,27.63225,118.90346,-0.29375,-26.21702128,-0.3127739,-0.679034769,3.611004968,-0.625185185,-74.97702206,7498.924118,-0.183579744,-27.05193287,75.06674391,-1.605571489,-2.760401313,7.659871828,-0.163833825
16,0.25,-24.55528,28.87384,87.99546,-14.21692,27.75702,118.82867,3.56,2.420687376,-0.551331058,-0.273368825,5.650815217,-0.599422938,226.6911765,473.1941284,-1.628376503,-5.022482902,92.38271059,0.206477895,-0.512498255,9.426807203,0.021069173
17,0.267,-24.53719,28.98965,87.91615,-14.15653,27.90679,118.72265,1.064117647,6.401879491,-0.684828599,-0.761442441,2.480046365,-0.707885424,-146.816609,220.076955,-1.152728957,6.153998436,-52.50486591,-0.724193671,0.627959024,-5.357639379,-0.073897313
18,0.283,-24.50573,29.14754,87.77933,-14.15733,28.01637,118.6144,1.96625,5.018753973,-0.866552663,0.005847098,-136.975,-0.987862749,56.38327206,-43.96457464,-1.150953605,-5.608021776,174318.808,-2.555003873,-0.57224712,17787.63347,-0.260714681
19,0.3,-24.46128,29.30675,87.65974,-14.11825,28.21108,118.50665,2.614705882,3.581777278,-0.751146285,-0.326783176,4.98234391,-0.553387088,38.14446367,-32.32793466,0.724868906,2.781422144,3632.480653,2.231398799,0.283818586,370.6612911,0.227693755
20,0.317,-24.43472,29.44548,87.52049,-14.12599,28.37306,118.38986,1.562352941,5.223268072,-1.003748288,0.055583483,-20.92764858,-0.72101494,-61.90311419,61.80311726,-1.820817439,-2.745900602,3347.544249,-1.034867586,-0.280193939,341.5861479,-0.105598733
21,0.333,-24.39884,29.63211,87.37582,-14.1154,28.608,118.2887,2.2425,5.201505017,-0.775170123,-0.073201078,22.18508026,-0.43057802,42.50919118,-0.606551158,1.224766465,0.89019535,4071.079211,1.236217418,0.09083626,415.416246,0.126144634
22,0.35,-24.36809,29.83287,87.22916,-14.14071,28.83032,118.1842,1.808823529,6.528780488,-0.730524009,0.172576026,-8.783879889,-0.470043181,-25.51038062,43.16342995,0.222385505,-1.675829159,1223.58594,-0.177515118,-0.171002975,124.8557082,-0.018113788
23,0.367,-24.34245,30.03446,87.07578,-14.21544,29.0772,118.11384,1.508235294,7.862324493,-0.760851233,0.48722128,-3.303626388,-0.28499676,-17.6816609,52.01029661,-0.150440121,-2.051409925,-73.33404926,0.749539944,-0.209327543,-7.483066251,0.076483668
24,0.383,-24.35011,30.2441,86.90424,-14.35337,29.31107,118.03975,-0.47875,-27.36814621,-0.818259874,0.804069022,-1.695570217,-0.316799932,-124.1865809,4599.27816,-0.273843929,-1.84707789,-11.65849468,-0.13598654,-0.188477336,-1.189642314,-0.013876178
25,0.4,-24.41969,30.47851,86.72997,-14.58657,29.53446,117.95014,-4.092941176,-3.368927853,-0.743440979,1.33815344,-0.957933105,-0.401137025,-212.599481,-344.9154694,0.319179619,-3.064695118,-3.1631094,-0.377532984,-0.312723992,-0.322766265,-0.038523774
26,0.417,-24.57695,30.7094,86.54685,-14.93868,29.76922,117.84927,-9.250588235,-1.46820552,-0.793104942,1.922837484,-0.666723467,-0.429672857,-303.3910035,-12.08649582,-0.215097935,-3.192901068,-0.827041656,-0.121553214,-0.325806231,-0.084392006,-0.012403389
27,0.433,-24.81834,30.93943,86.33993,-15.36996,29.9949,117.71266,-15.086875,-0.952939227,-0.899534843,2.084283781,-0.52327954,-0.605326125,-364.7679228,-2.134580109,-0.462678353,-0.780235345,-0.332600462,-0.778328909,-0.079615852,-0.033938823,-0.079421317
28,0.45,-25.17546,31.1903,86.08945,-15.88242,30.19953,117.49023,-21.00705882,-0.702480959,-0.99844541,2.045911849,-0.399309214,-1.086986268,-348.2461073,-0.701328036,-0.394270206,0.153193596,-0.241912199,-2.35381001,0.015632,-0.024684918,-0.240184695
29,0.467,-25.58927,31.43864,85.80884,-16.49391,30.41805,117.29641,-24.34176471,-0.600130495,-1.12994282,2.179145433,-0.357356621,-0.886966868,-196.1591696,-0.247336855,-0.529505558,-0.474799843,-0.068607162,0.915336811,-0.048448964,-0.007000731,0.093401715
30,0.483,-26.16637,31.65773,85.53181,-17.22375,30.5821,117.08469,-36.06875,-0.379639577,-1.264457529,2.634516117,-0.224775293,-1.29058214,-732.9365809,-0.38206709,-0.613970097,-1.643759464,-0.181658072,-2.460318632,-0.167730558,-0.018536538,-0.251052922
31,0.5,-26.85171,31.86047,85.30248,-18.06631,30.6824,116.91156,-40.31411765,-0.295823971,-1.131153201,3.67400689,-0.119041967,-1.726121635,-249.7275087,-0.122297847,0.657513701,-4.532729134,-0.12549056,-4.342367851,-0.462523381,-0.012805159,-0.44309876
32,0.517,-27.54869,32.01327,85.15691,-19.0049,30.74165,116.79234,-40.99882353,-0.219231542,-0.952683246,6.447688397,-0.063126605,-2.012151899,-40.27681661,-0.10989186,1.167997088,-19.0539363,-0.059573789,-4.827514998,-1.944279214,-0.006078958,-0.492603571
33,0.533,-28.54706,32.17113,85.10857,-19.98051,30.77028,116.71467,-62.398125,-0.158117732,-0.306220702,20.18225072,-0.029345743,-2.712888578,-1337.456342,-0.061213588,4.095163716,-284.1241689,-0.034625375,-24.47560879,-28.99226213,-0.003533202,-2.497511101
34,0.55,-29.853,32.28566,85.20507,-20.96934,30.80929,116.69012,-76.82,-0.087699282,0.842573998,-10.24694301,-0.039450664,-0.629325814,-848.3455882,-0.053921658,10.0305134,-315.3284324,0.010219068,53.41099114,-32.17637065,0.001042762,5.450101137
35,0.567,-31.13721,32.34546,85.36392,-21.95252,30.86782,116.72834,-75.54176471,-0.046565593,2.656354515,-6.189361032,-0.059531317,0.652998462,75.19031142,-0.032030345,30.33077788,25.5434811,0.020424188,21.9088378,2.606477663,0.002084101,2.235595694
36,0.583,-32.49936,32.37905,85.57111,-22.88959,30.99526,116.78401,-85.134375,-0.024659546,6.168204823,-4.52275689,-0.135998378,0.436833019,-599.5381434,-0.016081964,104.5504706,8.043844503,0.081602294,-1.696213456,0.820800459,0.008326765,-0.173083006
37,0.6,-34.01751,32.38431,85.85306,-23.82805,31.16878,116.84953,-89.30294118,-0.003464743,53.6026616,-3.328462493,-0.184898664,0.377593361,-245.2097751,-0.013960941,9017.957562,4.235837547,0.052106947,-0.341399599,0.432228321,0.005317035,-0.034836694
38,0.617,-35.62065,32.38165,86.14516,-24.77653,31.34158,116.89548,-94.30235294,0.001659244,-109.8120301,-3.247107155,-0.182186235,0.265914352,-294.083045,-0.003196219,61434.09461,0.278518789,-0.002859764,-0.646290562,0.028420285,-0.000291813,-0.065948017
39,0.633,-37.27725,32.35807,86.46329,-25.80437,31.49289,116.91648,-103.5375,0.014233973,-13.49151824,-3.230880458,-0.147211628,0.138787919,-577.1966912,-0.007590685,-4084.839349,0.051006499,-0.034027287,-0.840172051,0.005204745,-0.003472172,-0.085731842
40,0.65,-39.12825,32.29251,86.83018,-26.91244,31.63489,116.92034,-108.8823529,0.035418693,-5.596247712,-3.020169533,-0.128150749,0.027183099,-314.4031142,-0.011445013,-120.4281654,0.574316347,-0.017201873,-0.785949438,0.058603709,-0.001755293,-0.080198922
41,0.667,-41.07158,32.2171,87.22511,-28.09207,31.78127,116.89599,-114.3135294,0.038804526,-5.237103832,-2.986934393,-0.124089757,-0.166347862,-319.4809689,-0.001742284,-4.76254979,0.084154508,-0.003442598,-1.322113406,0.008587195,-0.000351286,-0.134909531
42,0.683,-43.06857,32.10603,87.61724,-29.33267,31.84687,116.84022,-124.811875,0.055618706,-3.530476276,-3.163746717,-0.05287764,-0.850152439,-656.1465993,-0.008419762,-15.36533318,-0.450902311,-0.057401352,-10.42385026,-0.04601044,-0.005857281,-1.06365819
43,0.7,-45.17968,32.02193,88.03507,-30.63476,31.89728,116.75353,-124.1829412,0.039836863,-4.968252081,-3.116315248,-0.038714682,-1.719698473,36.99610727,0.007475614,17.09602621,0.113518581,-0.010877096,-17.24947498,0.011583529,-0.001109908,-1.760150508
44,0.717,-47.2954,31.87687,88.4632,-31.9803,31.93151,116.64449,-124.4541176,0.068562948,-2.951399421,-3.142830449,-0.0254396,-3.185509787,-15.95155709,-0.013577451,-13.90357549,-0.061932593,-0.009865988,-42.82241642,-0.006319652,-0.001006733,-4.369634329
45,0.733,-49.45952,31.7354,88.89903,-33.39965,31.93839,116.54583,-135.2575,0.065370682,-3.080723828,-3.256659707,-0.004847289,-14.34011628,-675.2113971,0.001475087,0.914147222,-0.261178115,-0.014508269,-1621.309083,-0.026650828,-0.001480436,-165.4397023
